pxd	data_file	category	assessed_entities	gold_entities	matched_entities	assessed_only_entities	gold_only_entities	precision	recall	f1
PXD000534	OEI00066.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00066.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00066.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00068.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00068.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00068.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00070.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00070.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00070.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00072.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00072.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00072.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00074.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00074.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00074.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00076.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00076.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00076.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00078.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00078.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00078.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00080.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00080.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00080.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00082.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00082.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00082.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00084.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00084.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00084.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00086.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00086.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00086.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00088.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00088.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00088.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00090.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00090.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00090.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00092.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00092.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00092.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00094.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00094.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00094.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00096.raw	Biological	3	3	3	0	0	1.000000	1.000000	1.000000
PXD000534	OEI00096.raw	Technical	7	6	6	1	0	0.857143	1.000000	0.923077
PXD000534	OEI00096.raw	ExperimentalDesign	1	1	1	0	0	1.000000	1.000000	1.000000
