source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD041782-Sample-1	Homo sapiens	lung	non-small cell lung cancer	epithelial cell	H1299, HCC827	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	CRTAC1 expression (overexpressing, vector control), treatment (cisplatin, none)	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=?;TA=K	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	Orbitrap	VA086LQ_Vec_CDDP.raw	v1.1.0	HAMLET-agentic v2.2.5	non-small cell lung cancer
PXD041782-Sample-2	Homo sapiens	lung	non-small cell lung cancer	epithelial cell	H1299, HCC827	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	CRTAC1 expression (overexpressing, vector control), treatment (cisplatin, none)	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=?;TA=K	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	Orbitrap	VA086LQ_Vec_CDDP.raw	v1.1.0	HAMLET-agentic v2.2.5	non-small cell lung cancer
PXD041782-Sample-3	Homo sapiens	lung	non-small cell lung cancer	epithelial cell	H1299, HCC827	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	CRTAC1 expression (overexpressing, vector control), treatment (cisplatin, none)	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=?;TA=K	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	Orbitrap	VA086LQ_Vec_CDDP.raw	v1.1.0	HAMLET-agentic v2.2.5	non-small cell lung cancer
PXD041782-Sample-4	Homo sapiens	lung	non-small cell lung cancer	epithelial cell	H1299, HCC827	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	CRTAC1 expression (overexpressing, vector control), treatment (cisplatin, none)	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=?;TA=K	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	Orbitrap	VA086LQ_Vec_CDDP.raw	v1.1.0	HAMLET-agentic v2.2.5	non-small cell lung cancer
PXD041782-Sample-5	Homo sapiens	lung	non-small cell lung cancer	epithelial cell	H1299, HCC827	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	CRTAC1 expression (overexpressing, vector control), treatment (cisplatin, none)	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=?;TA=K	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	Orbitrap	VA086LQ_Vec.raw	v1.1.0	HAMLET-agentic v2.2.5	non-small cell lung cancer
PXD041782-Sample-6	Homo sapiens	lung	non-small cell lung cancer	epithelial cell	H1299, HCC827	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	CRTAC1 expression (overexpressing, vector control), treatment (cisplatin, none)	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=?;TA=K	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	Orbitrap	VA086LQ_Vec.raw	v1.1.0	HAMLET-agentic v2.2.5	non-small cell lung cancer
PXD041782-Sample-7	Homo sapiens	lung	non-small cell lung cancer	epithelial cell	H1299, HCC827	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	CRTAC1 expression (overexpressing, vector control), treatment (cisplatin, none)	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=?;TA=K	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	Orbitrap	VA086LQ_Vec.raw	v1.1.0	HAMLET-agentic v2.2.5	non-small cell lung cancer
PXD041782-Sample-8	Homo sapiens	lung	non-small cell lung cancer	epithelial cell	H1299, HCC827	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	CRTAC1 expression (overexpressing, vector control), treatment (cisplatin, none)	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=?;TA=K	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	Orbitrap	VA086LQ_Vec.raw	v1.1.0	HAMLET-agentic v2.2.5	non-small cell lung cancer
PXD041782-Sample-9	Homo sapiens	lung	non-small cell lung cancer	epithelial cell	H1299, HCC827	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	CRTAC1 expression (overexpressing, vector control), treatment (cisplatin, none)	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=?;TA=K	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	Orbitrap	VA086LQ_OE.raw	v1.1.0	HAMLET-agentic v2.2.5	non-small cell lung cancer
PXD041782-Sample-10	Homo sapiens	lung	non-small cell lung cancer	epithelial cell	H1299, HCC827	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Exploris 480;AC=MS:1003028	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	CRTAC1 expression (overexpressing, vector control), treatment (cisplatin, none)	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=?;TA=K	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	Orbitrap	VA086LQ_OE.raw	v1.1.0	HAMLET-agentic v2.2.5	non-small cell lung cancer
