source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD030883-Sample-1	Homo sapiens	blood plasma	tb lymphadenitis, pulmonary tb, healthy	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease/treatment state (HC, PTB, TBL, Rx)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=reduction;AC=UNIMOD:447;MT=Variable;TA=D	4.5 ppm	20 ppm	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	300m/z-1650m/z	20211124_CO_1051JoSc_R25.raw	v1.1.0	HAMLET-agentic v2.1.0	tb lymphadenitis, pulmonary tb, healthy
PXD030883-Sample-2	Homo sapiens	blood plasma	tb lymphadenitis, pulmonary tb, healthy	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease/treatment state (HC, PTB, TBL, Rx)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=reduction;AC=UNIMOD:447;MT=Variable;TA=D	4.5 ppm	20 ppm	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	300m/z-1650m/z	20211124_CO_1051JoSc_R25.raw	v1.1.0	HAMLET-agentic v2.1.0	tb lymphadenitis, pulmonary tb, healthy
PXD030883-Sample-3	Homo sapiens	blood plasma	tb lymphadenitis, pulmonary tb, healthy	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease/treatment state (HC, PTB, TBL, Rx)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=reduction;AC=UNIMOD:447;MT=Variable;TA=D	4.5 ppm	20 ppm	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	300m/z-1650m/z	20211124_CO_1051JoSc_R25.raw	v1.1.0	HAMLET-agentic v2.1.0	tb lymphadenitis, pulmonary tb, healthy
PXD030883-Sample-4	Homo sapiens	blood plasma	tb lymphadenitis, pulmonary tb, healthy	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease/treatment state (HC, PTB, TBL, Rx)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=reduction;AC=UNIMOD:447;MT=Variable;TA=D	4.5 ppm	20 ppm	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	300m/z-1650m/z	20211124_CO_1051JoSc_R25.raw	v1.1.0	HAMLET-agentic v2.1.0	tb lymphadenitis, pulmonary tb, healthy
PXD030883-Sample-5	Homo sapiens	blood plasma	tb lymphadenitis, pulmonary tb, healthy	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease/treatment state (HC, PTB, TBL, Rx)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=reduction;AC=UNIMOD:447;MT=Variable;TA=D	4.5 ppm	20 ppm	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	300m/z-1650m/z	20211124_CO_1051JoSc_R25.raw	v1.1.0	HAMLET-agentic v2.1.0	tb lymphadenitis, pulmonary tb, healthy
PXD030883-Sample-6	Homo sapiens	blood plasma	tb lymphadenitis, pulmonary tb, healthy	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease/treatment state (HC, PTB, TBL, Rx)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=reduction;AC=UNIMOD:447;MT=Variable;TA=D	4.5 ppm	20 ppm	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	300m/z-1650m/z	20211124_CO_1051JoSc_R25.raw	v1.1.0	HAMLET-agentic v2.1.0	tb lymphadenitis, pulmonary tb, healthy
PXD030883-Sample-7	Homo sapiens	blood plasma	tb lymphadenitis, pulmonary tb, healthy	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease/treatment state (HC, PTB, TBL, Rx)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=reduction;AC=UNIMOD:447;MT=Variable;TA=D	4.5 ppm	20 ppm	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	300m/z-1650m/z	20211124_CO_1051JoSc_R25.raw	v1.1.0	HAMLET-agentic v2.1.0	tb lymphadenitis, pulmonary tb, healthy
PXD030883-Sample-8	Homo sapiens	blood plasma	tb lymphadenitis, pulmonary tb, healthy	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease/treatment state (HC, PTB, TBL, Rx)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=reduction;AC=UNIMOD:447;MT=Variable;TA=D	4.5 ppm	20 ppm	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	300m/z-1650m/z	20211124_CO_1051JoSc_R25.raw	v1.1.0	HAMLET-agentic v2.1.0	tb lymphadenitis, pulmonary tb, healthy
PXD030883-Sample-9	Homo sapiens	blood plasma	tb lymphadenitis, pulmonary tb, healthy	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease/treatment state (HC, PTB, TBL, Rx)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=reduction;AC=UNIMOD:447;MT=Variable;TA=D	4.5 ppm	20 ppm	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	300m/z-1650m/z	20211124_CO_1051JoSc_R25.raw	v1.1.0	HAMLET-agentic v2.1.0	tb lymphadenitis, pulmonary tb, healthy
PXD030883-Sample-10	Homo sapiens	blood plasma	tb lymphadenitis, pulmonary tb, healthy	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	disease/treatment state (HC, PTB, TBL, Rx)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=reduction;AC=UNIMOD:447;MT=Variable;TA=D	4.5 ppm	20 ppm	tris(2-carboxyethyl)phosphine	iodoacetamide	orbitrap	300m/z-1650m/z	20211124_CO_1051JoSc_R25.raw	v1.1.0	HAMLET-agentic v2.1.0	tb lymphadenitis, pulmonary tb, healthy
