field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[disease]	Biological	360	360	360	1.0	1.0	1.0
characteristics[organism part]	Biological	360	360	360	1.0	1.0	1.0
characteristics[organism]	Biological	360	360	360	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	360	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	360	360	360	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	0	0	0			
factor value[disease]	ExperimentalDesign	0	0	0			
factor value[experimental design]	ExperimentalDesign	0	0	0			
comment[cleavage agent details]	Technical	360	360	360	1.0	1.0	1.0
comment[dissociation method]	Technical	360	360	360	1.0	1.0	1.0
comment[fragment mass tolerance]	Technical	0	0	0			
comment[instrument]	Technical	360	360	360	1.0	1.0	1.0
comment[label]	Technical	3600	3600	3600	1.0	1.0	1.0
comment[ms2 mass analyzer]	Technical	0	0	0			
comment[precursor mass tolerance]	Technical	0	0	0			
comment[proteomics data acquisition method]	Technical	0	0	0			
technology type	Technical	0	0	0			
