pxd	characteristics[age]	characteristics[enrichment process]	comment[alkylation reagent]	comment[reduction reagent]	factor value[experimental design]	factor value[disease]	comment[proteomics data acquisition method]	comment[cleavage agent details]	characteristics[biological replicate]	comment[fragment mass tolerance]	technology type	characteristics[sex]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	characteristics[cell line]	characteristics[cell type]	characteristics[organism part]	characteristics[disease]	comment[technical replicate]	comment[dissociation method]	comment[modification parameters]	comment[fraction identifier]	comment[label]	comment[instrument]	characteristics[organism]
PXD000534	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NA	NA	1.000000	1.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD000561	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	NA	0.000000	1.000000	0.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD000651	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD000652	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD001558	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	2.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	0.000000	2.000000	0.000000	1.000000	0.000000	0.000000	NA	1.000000	2.965517	1.000000	1.000000
PXD001819	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NA	0.000000	0.000000	0.000000	1.000000	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002029	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	1.000000	1.000000	0.000000	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002049	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	NA	0.000000	2.000000	1.000000	0.000000	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002080	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	NA	NA	1.000000	1.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002081	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	NA	NA	1.000000	1.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002082	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	NA	NA	1.000000	1.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002084	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	NA	NA	1.000000	1.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002086	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	NA	NA	0.933333	1.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002087	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	NA	NA	1.000000	1.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002088	1.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	NA	NA	1.000000	1.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002395	0.600000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.700000	1.000000	1.000000	1.000000	0.866667	0.000000	0.900000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002619	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD002870	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD003531	0.400000	NA	NA	NA	0.000000	0.000000	1.000000	2.000000	0.400000	1.000000	0.000000	1.000000	0.000000	1.000000	0.400000	1.000000	0.600000	1.000000	0.900000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD003668	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	2.000000	0.900000	0.000000	0.000000	0.000000	0.000000	0.000000	0.966667	0.000000	0.033333	0.033333	0.000000	0.000000	NA	0.000000	1.000000	1.000000	1.000000
PXD003977	1.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.800000	0.000000	NA	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD004143	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NA	NA	1.000000	1.000000	0.000000	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD004242	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	2.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD004682	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD004683	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.000000	NA	1.000000	4.000000	1.000000	1.000000
PXD004684	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	NA	NA	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD004987	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NA	0.000000	1.000000	1.000000	0.000000	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD005354	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD005355	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	NA	0.000000	1.000000	1.000000	1.000000
PXD005445	0.366667	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.366667	1.000000	0.000000	NA	NA	0.933333	1.000000	0.933333	1.000000	NA	0.566667	1.000000	1.000000	1.000000
