pxd	data_file	category	assessed_entities	gold_entities	matched_entities	assessed_only_entities	gold_only_entities	precision	recall	f1
PXD006675	20160321_QEp4_SoDo_SA_test_aO1.raw	Biological	6	4	3	3	1	0.500000	0.750000	0.600000
PXD006675	20160321_QEp4_SoDo_SA_test_aO1.raw	Technical	8	8	4	4	4	0.500000	0.500000	0.500000
PXD006675	20160321_QEp4_SoDo_SA_test_aO1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD006675	20160321_QEp4_SoDo_SA_test_Ao2.raw	Biological	6	4	3	3	1	0.500000	0.750000	0.600000
PXD006675	20160321_QEp4_SoDo_SA_test_Ao2.raw	Technical	8	8	4	4	4	0.500000	0.500000	0.500000
PXD006675	20160321_QEp4_SoDo_SA_test_Ao2.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD006675	20160321_QEp4_SoDo_SA_test_LA1.raw	Biological	6	4	3	3	1	0.500000	0.750000	0.600000
PXD006675	20160321_QEp4_SoDo_SA_test_LA1.raw	Technical	8	8	4	4	4	0.500000	0.500000	0.500000
PXD006675	20160321_QEp4_SoDo_SA_test_LA1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD006675	20160321_QEp4_SoDo_SA_test_LA2.raw	Biological	6	4	3	3	1	0.500000	0.750000	0.600000
PXD006675	20160321_QEp4_SoDo_SA_test_LA2.raw	Technical	8	8	4	4	4	0.500000	0.500000	0.500000
PXD006675	20160321_QEp4_SoDo_SA_test_LA2.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD006675	20160321_QEp4_SoDo_SA_test_LV1.raw	Biological	6	4	3	3	1	0.500000	0.750000	0.600000
PXD006675	20160321_QEp4_SoDo_SA_test_LV1.raw	Technical	8	8	4	4	4	0.500000	0.500000	0.500000
PXD006675	20160321_QEp4_SoDo_SA_test_LV1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD006675	20160321_QEp4_SoDo_SA_test_LV2.raw	Biological	6	4	3	3	1	0.500000	0.750000	0.600000
PXD006675	20160321_QEp4_SoDo_SA_test_LV2.raw	Technical	8	8	4	4	4	0.500000	0.500000	0.500000
PXD006675	20160321_QEp4_SoDo_SA_test_LV2.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD006675	20160321_QEp4_SoDo_SA_test_MK1.raw	Biological	6	4	3	3	1	0.500000	0.750000	0.600000
PXD006675	20160321_QEp4_SoDo_SA_test_MK1.raw	Technical	8	8	4	4	4	0.500000	0.500000	0.500000
PXD006675	20160321_QEp4_SoDo_SA_test_MK1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD006675	20160321_QEp4_SoDo_SA_test_MK2.raw	Biological	6	4	3	3	1	0.500000	0.750000	0.600000
PXD006675	20160321_QEp4_SoDo_SA_test_MK2.raw	Technical	8	8	4	4	4	0.500000	0.500000	0.500000
PXD006675	20160321_QEp4_SoDo_SA_test_MK2.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD006675	20160321_QEp4_SoDo_SA_test_RA1.raw	Biological	6	4	3	3	1	0.500000	0.750000	0.600000
PXD006675	20160321_QEp4_SoDo_SA_test_RA1.raw	Technical	8	8	4	4	4	0.500000	0.500000	0.500000
PXD006675	20160321_QEp4_SoDo_SA_test_RA1.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
PXD006675	20160321_QEp4_SoDo_SA_test_RA1bis.raw	Biological	6	4	3	3	1	0.500000	0.750000	0.600000
PXD006675	20160321_QEp4_SoDo_SA_test_RA1bis.raw	Technical	8	8	4	4	4	0.500000	0.500000	0.500000
PXD006675	20160321_QEp4_SoDo_SA_test_RA1bis.raw	ExperimentalDesign	5	2	0	5	2	0.000000	0.000000	0.000000
