"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","repository_origin","inference","error_category","issue_summary","corrected_value"
"PXD039998","","strict","Biological","cell_line","SW1990","SW1990","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value ""SW1990"" is a named immortalized cell line, which matches the required category for this field.
SOURCE CHECK: The paper explicitly states that ""we performed co-immunoprecipitation (Co-IP) mass spectrometry analysis of EP300-binding proteins in SW1990 cells,"" confirming it was the material analyzed by MS.
TRUTH CHECK: The value is factually correct as it is the specific cell line used for the proteomics experiment described in the results.
COMPLETENESS CHECK: The full set contains ""SW1990"", which is the only cell line explicitly linked to the mass spectrometry analysis in the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD039998","","strict","Biological","cell_type","epithelial cell","epithelial cell","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value ""epithelial cell"" is a valid cell type/lineage.
SOURCE CHECK: The MS experiment was performed using the SW1990 cell line (""we performed co-immunoprecipitation (Co-IP) mass spectrometry analysis of EP300-binding proteins in SW1990 cells""), and SW1990 is a well-established human pancreatic ductal adenocarcinoma (epithelial) cell line.
TRUTH CHECK: SW1990 cells are epithelial in origin (pancreatic ductal adenocarcinoma), making ""epithelial cell"" a factually correct lineage.
COMPLETENESS CHECK: The full set contains the correct lineage for the cell line used in the MS experiment.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD039998","","strict","Biological","disease","pancreatic ductal adenocarcinoma","","low","False","","False","False","False","False","","","wrong_value","TYPE CHECK: Unable to evaluate.
SOURCE CHECK: N/A
TRUTH CHECK: N/A
COMPLETENESS CHECK: N/A
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD039998","","strict","Biological","organ","pancreas","pancreas","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value ""pancreas"" is a valid organ/tissue type.
SOURCE CHECK: The MS experiment was performed using SW1990 cells, which are a human pancreatic ductal adenocarcinoma (PDAC) cell line.
TRUTH CHECK: The value is correct as SW1990 is a pancreatic cancer cell line, and the paper explicitly refers to ""human pancreatic ductal adenocarcinoma (PDAC) cells"".
COMPLETENESS CHECK: The full set contains the correct organ of origin for the MS sample.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD039998","","strict","Biological","species","Homo sapiens","Homo sapiens","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value ""Homo sapiens"" is a scientific name for a species, which matches the field definition.
SOURCE CHECK: The paper describes the use of ""human pancreatic ductal adenocarcinoma (PDAC) cells"" and specific human cell lines (PANC1, SW1990) for the co-immunoprecipitation mass spectrometry analysis.
TRUTH CHECK: The use of human cell lines for the MS experiment confirms the species as Homo sapiens.
COMPLETENESS CHECK: The full set contains ""Homo sapiens"", which is the only species used for the MS samples in this study.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD039998","","strict","ExperimentalDesign","factor_value","treatment (absence, presence of RSL3), EP300 expression (knockdown, overexpression), HDAC6 expression (knockdown)","treatment (absence, presence of RSL3), EP300 expression (knockdown, overexpression), HDAC6 expression (knockdown) | pancreatic ductal adenocarcinoma","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value describes experimental variables (treatment and gene expression levels), which is the correct category for factor_value.
SOURCE CHECK: The values are present in the text: RSL3 treatment is used in the Co-IP MS experiment (""absence or presence of RSL3 treatment""), and EP300/HDAC6 knockdown/overexpression are central to the study's functional assays.
TRUTH CHECK: The values accurately reflect the experimental conditions described in the paper.
COMPLETENESS CHECK: The full set of extracted values (including the disease state ""pancreatic ductal adenocarcinoma"") covers the primary experimental axes of the study.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD039998","","strict","ExperimentalDesign","factor_value","pancreatic ductal adenocarcinoma","treatment (absence, presence of RSL3), EP300 expression (knockdown, overexpression), HDAC6 expression (knockdown) | pancreatic ductal adenocarcinoma","high","False","","True","True","False","False","","","correct_explicit","TYPE CHECK: The candidate value describes a disease state, which is a valid characteristic for a factor_value.
SOURCE CHECK: The value is explicitly mentioned in the abstract and results as the disease context for the cells (PDAC cells) used in the MS experiment.
TRUTH CHECK: The value is factually correct as the study focuses on human pancreatic ductal adenocarcinoma.
COMPLETENESS CHECK: The full set of extracted values covers both the disease context and the experimental perturbations (RSL3, EP300, HDAC6), making the extraction exhaustive.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD039998","","strict","Technical","acquisition_method","data-dependent acquisition","","low","False","","False","False","False","True","runassessor","","runassessor_only","TYPE CHECK: The candidate value ""data-dependent acquisition"" is a valid acquisition scheme name.
SOURCE CHECK: The paper mentions ""co-immunoprecipitation (Co-IP) mass spectrometry analysis"", but it does not explicitly state the acquisition method (e.g., DDA or DIA).
TRUTH CHECK: There is no mention of ""data-dependent acquisition"" or ""DDA"" in the provided text.
COMPLETENESS CHECK: The value is not present in the text, so the extraction is not based on the provided source.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD039998","","strict","Technical","fragmentation","beam-type collision-induced dissociation","","low","False","","False","False","False","True","runassessor","","runassessor_only","TYPE CHECK: The candidate value describes a fragmentation method, which matches the field definition.
SOURCE CHECK: The candidate value is not present in the provided paper text.
TRUTH CHECK: The paper mentions ""co-immunoprecipitation (Co-IP) mass spectrometry analysis"" but does not specify the fragmentation method used.
COMPLETENESS CHECK: The full set of extracted values is not supported by the text.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
"PXD039998","","strict","Technical","instrument","Q Exactive","","low","False","","False","False","False","True","runassessor","","runassessor_only","TYPE CHECK: The candidate value is a mass spectrometer model, which matches the field definition.
SOURCE CHECK: The paper mentions ""co-immunoprecipitation (Co-IP) mass spectrometry analysis"", but it does not name the specific instrument used.
TRUTH CHECK: The value ""Q Exactive"" is not mentioned anywhere in the provided text.
COMPLETENESS CHECK: The value is not present in the text, so it cannot be complete.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
