field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	144	0	0.0	0.0	0.0
characteristics[cell line]	Biological	198	198	0	0.0	0.0	0.0
characteristics[cell type]	Biological	198	180	0	0.0	0.0	0.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	198	180	0	0.0	0.0	0.0
characteristics[organism part]	Biological	198	0	0	0.0	0.0	0.0
characteristics[organism]	Biological	198	198	198	1.0	1.0	1.0
characteristics[sex]	Biological	198	162	162	0.8181818181818182	0.8181818181818182	0.8181818181818182
characteristics[biological replicate]	ExperimentalDesign	198	198	66	0.3333333333333333	0.3333333333333333	0.3333333333333333
comment[fraction identifier]	ExperimentalDesign	198	197	33	0.16666666666666666	0.16666666666666666	0.16666666666666666
comment[technical replicate]	ExperimentalDesign	198	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	198	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	198	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	198	198	198	1.0	1.0	1.0
comment[dissociation method]	Technical	198	198	198	1.0	1.0	1.0
comment[fragment mass tolerance]	Technical	198	198	0	0.0	0.0	0.0
comment[instrument]	Technical	198	198	0	0.0	0.0	0.0
comment[label]	Technical	198	198	198	1.0	1.0	1.0
comment[modification parameters]	Technical	0	594	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	198	198	198	1.0	1.0	1.0
comment[precursor mass tolerance]	Technical	198	198	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	0	0	0			
technology type	Technical	198	0	0	0.0	0.0	0.0
