ID,PXD,Raw Data File,Characteristics[BiologicalReplicate],Characteristics[CellPart],Characteristics[CellLine],Characteristics[CellType],Characteristics[CleavageAgent],Characteristics[Compound],Characteristics[ConcentrationOfCompound],FactorValue[ConcentrationOfCompound].1,Characteristics[Disease],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[Label],Characteristics[MaterialType],Characteristics[Modification],Characteristics[Modification].1,Characteristics[Modification].2,Characteristics[Modification].3,Characteristics[NumberOfBiologicalReplicates],Characteristics[Organism],Characteristics[ReductionReagent],Characteristics[Temperature],FactorValue[CellPart],Comment[AcquisitionMethod],Comment[CollisionEnergy],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[FragmentationMethod],Comment[FragmentMassTolerance],Comment[GradientTime],Comment[MS2MassAnalyzer],Comment[Instrument],Comment[IonizationType],Comment[PrecursorMassTolerance],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[GrowthRate],Characteristics[NumberOfSamples],Characteristics[NumberOfTechnicalReplicates],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[SamplingTime],Characteristics[Sex],Characteristics[Specimen],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[Time],Characteristics[Treatment],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[EnrichmentMethod],Comment[FractionIdentifier],Comment[NumberOfMissedCleavages],Comment[NumberOfFractions],Usage
1558,PXD040582,20230209_HCMV_CDV_VME_Distal_BR1.raw,1,Distal cells,MRC5,fibroblast,trypsin,Cidofovir,1 μM,Cidofovir,Human cytomegalovirus infection,Cidofovir,Infection with UL32-GFP HCMV,SP-TATκ-mCherry MRC5,Label-free,Cell line,Phosphorylation of Serines,Phosphorylation of Threonines,Phosphorylation of Tyrosines ,Carbamidomethylation of Cysteins,3,9606 (Homo Sapiens),TCEP,37°C,Distal cells,DDA,27 NCE,250 nL/min,RP-HPLC,HCD,0.02 Da,150 min,Orbitrap,Thermo Q-Exactive HF,nanoESI,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1559,PXD040582,20230209_HCMV_CDV_VME_Distal_BR2.raw,2,Distal cells,MRC5,fibroblast,trypsin,Cidofovir,1 μM,Cidofovir,Human cytomegalovirus infection,Cidofovir,Infection with UL32-GFP HCMV,SP-TATκ-mCherry MRC5,Label-free,Cell line,Phosphorylation of Serines,Phosphorylation of Threonines,Phosphorylation of Tyrosines ,Carbamidomethylation of Cysteins,3,9606 (Homo Sapiens),TCEP,37°C,Distal cells,DDA,27 NCE,250 nL/min,RP-HPLC,HCD,0.02 Da,150 min,Orbitrap,Thermo Q-Exactive HF,nanoESI,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1560,PXD040582,20230209_HCMV_CDV_VME_Distal_BR3.raw,3,Distal cells,MRC5,fibroblast,trypsin,Cidofovir,1 μM,Cidofovir,Human cytomegalovirus infection,Cidofovir,Infection with UL32-GFP HCMV,SP-TATκ-mCherry MRC5,Label-free,Cell line,Phosphorylation of Serines,Phosphorylation of Threonines,Phosphorylation of Tyrosines ,Carbamidomethylation of Cysteins,3,9606 (Homo Sapiens),TCEP,37°C,Distal cells,DDA,27 NCE,250 nL/min,RP-HPLC,HCD,0.02 Da,150 min,Orbitrap,Thermo Q-Exactive HF,nanoESI,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1561,PXD040582,20230209_HCMV_CDV_VME_Infected_BR1.raw,1,Infected cells,MRC5,fibroblast,trypsin,Cidofovir,1 μM,Cidofovir,Human cytomegalovirus infection,Cidofovir,Infection with UL32-GFP HCMV,SP-TATκ-mCherry MRC5,Label-free,Cell line,Phosphorylation of Serines,Phosphorylation of Threonines,Phosphorylation of Tyrosines ,Carbamidomethylation of Cysteins,3,9606 (Homo Sapiens),TCEP,37°C,Infected cells,DDA,27 NCE,250 nL/min,RP-HPLC,HCD,0.02 Da,150 min,Orbitrap,Thermo Q-Exactive HF,nanoESI,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1562,PXD040582,20230209_HCMV_CDV_VME_Infected_BR2.raw,2,Infected cells,MRC5,fibroblast,trypsin,Cidofovir,1 μM,Cidofovir,Human cytomegalovirus infection,Cidofovir,Infection with UL32-GFP HCMV,SP-TATκ-mCherry MRC5,Label-free,Cell line,Phosphorylation of Serines,Phosphorylation of Threonines,Phosphorylation of Tyrosines ,Carbamidomethylation of Cysteins,3,9606 (Homo Sapiens),TCEP,37°C,Infected cells,DDA,27 NCE,250 nL/min,RP-HPLC,HCD,0.02 Da,150 min,Orbitrap,Thermo Q-Exactive HF,nanoESI,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1563,PXD040582,20230209_HCMV_CDV_VME_Infected_BR3.raw,3,Infected cells,MRC5,fibroblast,trypsin,Cidofovir,1 μM,Cidofovir,Human cytomegalovirus infection,Cidofovir,Infection with UL32-GFP HCMV,SP-TATκ-mCherry MRC5,Label-free,Cell line,Phosphorylation of Serines,Phosphorylation of Threonines,Phosphorylation of Tyrosines ,Carbamidomethylation of Cysteins,3,9606 (Homo Sapiens),TCEP,37°C,Infected cells,DDA,27 NCE,250 nL/min,RP-HPLC,HCD,0.02 Da,150 min,Orbitrap,Thermo Q-Exactive HF,nanoESI,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1564,PXD040582,20230209_HCMV_CDV_VME_Mock_BR1.raw,1,Unifected cells,MRC5,fibroblast,trypsin,Cidofovir,1 μM,Cidofovir,,Cidofovir,,SP-TATκ-mCherry MRC5,Label-free,Cell line,Phosphorylation of Serines,Phosphorylation of Threonines,Phosphorylation of Tyrosines ,Carbamidomethylation of Cysteins,3,9606 (Homo Sapiens),TCEP,37°C,Unifected cells,DDA,27 NCE,250 nL/min,RP-HPLC,HCD,0.02 Da,150 min,Orbitrap,Thermo Q-Exactive HF,nanoESI,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1565,PXD040582,20230209_HCMV_CDV_VME_Mock_BR2.raw,2,Unifected cells,MRC5,fibroblast,trypsin,Cidofovir,1 μM,Cidofovir,,Cidofovir,,SP-TATκ-mCherry MRC5,Label-free,Cell line,Phosphorylation of Serines,Phosphorylation of Threonines,Phosphorylation of Tyrosines ,Carbamidomethylation of Cysteins,3,9606 (Homo Sapiens),TCEP,37°C,Unifected cells,DDA,27 NCE,250 nL/min,RP-HPLC,HCD,0.02 Da,150 min,Orbitrap,Thermo Q-Exactive HF,nanoESI,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1566,PXD040582,20230209_HCMV_CDV_VME_Mock_BR3.raw,3,Unifected cells,MRC5,fibroblast,trypsin,Cidofovir,1 μM,Cidofovir,,Cidofovir,,SP-TATκ-mCherry MRC5,Label-free,Cell line,Phosphorylation of Serines,Phosphorylation of Threonines,Phosphorylation of Tyrosines ,Carbamidomethylation of Cysteins,3,9606 (Homo Sapiens),TCEP,37°C,Unifected cells,DDA,27 NCE,250 nL/min,RP-HPLC,HCD,0.02 Da,150 min,Orbitrap,Thermo Q-Exactive HF,nanoESI,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1567,PXD040582,20230209_HCMV_CDV_VME_Neighbor_BR1.raw,1,Neighboring cells,MRC5,fibroblast,trypsin,Cidofovir,1 μM,Cidofovir,Human cytomegalovirus infection,Cidofovir,Infection with UL32-GFP HCMV,SP-TATκ-mCherry MRC5,Label-free,Cell line,Phosphorylation of Serines,Phosphorylation of Threonines,Phosphorylation of Tyrosines ,Carbamidomethylation of Cysteins,3,9606 (Homo Sapiens),TCEP,37°C,Neighboring cells,DDA,27 NCE,250 nL/min,RP-HPLC,HCD,0.02 Da,150 min,Orbitrap,Thermo Q-Exactive HF,nanoESI,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
