ID,PXD,Raw Data File,Characteristics[BiologicalReplicate],Characteristics[CellLine],Characteristics[CleavageAgent],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Disease],Characteristics[Label],Characteristics[MaterialType],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfTechnicalReplicates],Characteristics[Organism],Characteristics[ReductionReagent],Characteristics[SpikedCompound],FactorValue[Compound],Comment[AcquisitionMethod],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[FragmentationMethod],Comment[Instrument],Comment[IonizationType],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[CellPart],Characteristics[CellType],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[GrowthRate],Characteristics[Modification],Characteristics[NumberOfSamples],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[SamplingTime],Characteristics[Sex],Characteristics[Specimen],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[Temperature],Characteristics[Time],Characteristics[Treatment],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[EnrichmentMethod],Comment[FractionIdentifier],Comment[FragmentMassTolerance],Comment[GradientTime],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[NumberOfFractions],Comment[PrecursorMassTolerance],Usage
142,PXD062469,JM_Plum_310118_100418_DIA_145_Exo_DMSO_11.raw,1,DU 145,trypsin,DMSO,0 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
143,PXD062469,JM_Plum_310118_100418_DIA_145_Exo_DMSO_12.raw,1,DU 145,trypsin,DMSO,0 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
144,PXD062469,JM_Plum_310118_100418_DIA_145_Exo_DMSO_21.raw,1,DU 145,trypsin,DMSO,0 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
145,PXD062469,JM_Plum_310118_100418_DIA_145_Exo_DMSO_22.raw,1,DU 145,trypsin,DMSO,0 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
146,PXD062469,JM_Plum_310118_100418_DIA_145_Exo_INHB_11.raw,1,DU 145,trypsin,GW4869,10 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,GW4869,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
147,PXD062469,JM_Plum_310118_100418_DIA_145_Exo_INHB_12.raw,1,DU 145,trypsin,GW4869,10 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,GW4869,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
148,PXD062469,JM_Plum_310118_100418_DIA_145_Exo_INHB_21.raw,1,DU 145,trypsin,GW4869,10 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,GW4869,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
149,PXD062469,JM_Plum_310118_100418_DIA_145_Exo_INHB_22.raw,1,DU 145,trypsin,GW4869,10 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,GW4869,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
150,PXD062469,JM_Plum_310118_100418_DIA_145_MV_DMSO_11.raw,1,DU 145,trypsin,DMSO,0 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
151,PXD062469,JM_Plum_310118_100418_DIA_145_MV_DMSO_12.raw,1,DU 145,trypsin,DMSO,0 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
