ID,PXD,Raw Data File,Characteristics[BiologicalReplicate],Characteristics[CellLine],Characteristics[CellPart],Characteristics[CellType],Characteristics[CleavageAgent],Characteristics[Disease],Characteristics[Genotype],Characteristics[Label],Characteristics[MaterialType],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfTechnicalReplicates],Characteristics[Organism],Characteristics[ReductionReagent],Characteristics[SamplingTime],Characteristics[Treatment],FactorValue[Disease],Comment[AcquisitionMethod],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[FragmentationMethod],Comment[GradientTime],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[PrecursorMassTolerance],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[GrowthRate],Characteristics[Modification],Characteristics[NumberOfSamples],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[Sex],Characteristics[Specimen],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[Temperature],Characteristics[Time],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[EnrichmentMethod],Comment[FractionIdentifier],Comment[FragmentMassTolerance],Comment[NumberOfFractions],Usage
64,PXD062877,20240924_001_West_BMDM_2046_rep1.raw,3,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
65,PXD062877,20240924_001_West_BMDM_2046_rep2.raw,3,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
66,PXD062877,20240924_002_West_BMDM_2034_rep1.raw,3,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
67,PXD062877,20240924_002_West_BMDM_2034_rep2.raw,3,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
68,PXD062877,20240924_003_West_BMDM_2037_rep1.raw,2,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
69,PXD062877,20240924_003_West_BMDM_2037_rep2.raw,2,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
70,PXD062877,20240924_004_West_BMDM_2051_rep1.raw,4,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
71,PXD062877,20240924_004_West_BMDM_2051_rep2.raw,4,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
72,PXD062877,20240924_005_West_BMDM_2043_rep1.raw,4,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
73,PXD062877,20240924_005_West_BMDM_2043_rep2.raw,4,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
