source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD060120-Sample-1	Homo sapiens	umbilical vein, dermis	normal	endothelial cells	HUVEC	not available	12	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	375m/z-1700m/z	34 NCE	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD060120-Sample-2	Homo sapiens	umbilical vein, dermis	normal	endothelial cells	HUVEC	not available	12	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	375m/z-1700m/z	34 NCE	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD060120-Sample-3	Homo sapiens	umbilical vein, dermis	normal	endothelial cells	HUVEC	not available	12	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	375m/z-1700m/z	34 NCE	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD060120-Sample-4	Homo sapiens	umbilical vein, dermis	normal	endothelial cells	HUVEC	not available	12	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	375m/z-1700m/z	34 NCE	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD060120-Sample-5	Homo sapiens	umbilical vein, dermis	normal	endothelial cells	HUVEC	not available	12	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	375m/z-1700m/z	34 NCE	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD060120-Sample-6	Homo sapiens	umbilical vein, dermis	normal	endothelial cells	HUVEC	not available	12	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	375m/z-1700m/z	34 NCE	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD060120-Sample-7	Homo sapiens	umbilical vein, dermis	normal	endothelial cells	HUVEC	not available	12	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	375m/z-1700m/z	34 NCE	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD060120-Sample-8	Homo sapiens	umbilical vein, dermis	normal	endothelial cells	HUVEC	not available	12	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	375m/z-1700m/z	34 NCE	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD060120-Sample-9	Homo sapiens	umbilical vein, dermis	normal	endothelial cells	HUVEC	not available	12	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	375m/z-1700m/z	34 NCE	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD060120-Sample-10	Homo sapiens	umbilical vein, dermis	normal	endothelial cells	HUVEC	not available	12	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131N	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	navtemadlin concentration (0 µM, 0.05 µM, 1 µM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=TMTpro 16plex Tandem Mass Tag;AC=UNIMOD:2016;MT=Variable;TA=H	6 ppm	7 ppm	dithiothreitol	iodoacetamide	orbitrap	375m/z-1700m/z	34 NCE	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
