"paper_id","source","mode","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","technical_origin","inference","error_category","issue_summary","corrected_value"
"PXD041051","","strict","Biological","age","6–8 weeks","6–8 weeks","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a time-based age range, which matches the definition for the age field.
SOURCE CHECK: The value is explicitly stated in the ""Results"" section (""male C57BL/6 J mice, aged 6–8 weeks"") and refers to the mice used to establish the RIII model, from which the crypts were isolated for the RNA pulldown assay and subsequent mass spectrometry analysis.
TRUTH CHECK: The value is factually correct as per the text.
COMPLETENESS CHECK: The value is complete as it represents the age of the animals used for the experimental samples.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD041051","","strict","Biological","cell_line","293 T, MODE-K, CT26, IEC-6","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value contains names of immortalized cell lines, which matches the field definition.
SOURCE CHECK: The paper mentions these cell lines, but only ""293 T"" cells were used for the RNA pulldown assay that fed into the mass spectrometry analysis (""circDmbt1(3,4,5,6)-overexpressing 293 T cells were used for RNA extraction... The RNA pulldown products were also analyzed by mass spectrometry""). MODE-K, CT26, and IEC-6 were used for functional assays (proliferation, apoptosis, colony formation) and not for the MS experiment.
TRUTH CHECK: Only ""293 T"" is correct as the source of the MS sample; the others are used in unrelated functional contexts.
COMPLETENESS CHECK: The full set is incorrect because it includes cell lines not used for MS.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: 293 T","293 T"
"PXD041051","","strict","Biological","cell_type","jejunal crypt cells","jejunal crypt cells","medium","False","","True","False","False","False","","incomplete","TYPE CHECK: The candidate value ""jejunal crypt cells"" describes a specific cell type/population, which matches the field definition.
SOURCE CHECK: The paper mentions ""Jejunal crypt cells were isolated, and transcriptome sequence was performed"", but this refers to RNA sequencing, not mass spectrometry. The actual mass spectrometry (MS) experiment is described in the ""Biotin-coupled probe pulldown assay"" section, where ""The RNA pulldown products were also analyzed by mass spectrometry."" These products were derived from ""circDmbt1(3,4,5,6)-overexpressing 293 T cells"" (used for RNA extraction) and ""crypts... extracted from a healthy mouse for protein extraction.""
TRUTH CHECK: While ""jejunal crypt cells"" are mentioned in the context of RNA-seq, the MS experiment specifically used proteins extracted from ""crypts"" of a healthy mouse. ""Jejunal crypt cells"" is a reasonable description of the cells within those crypts.
COMPLETENESS CHECK: The full set only contains ""jejunal crypt cells"", but it misses the other MS sample source: the 293 T cell line.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: no
HALLUCINATED: no
VERDICT: medium
CORRECTED_VALUE: jejunal crypt cells, epithelial cell","jejunal crypt cells, epithelial cell"
"PXD041051","","strict","Biological","disease","radiation-induced intestinal injury","radiation-induced intestinal injury","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value describes a disease/injury state, which matches the definition of the disease field.
SOURCE CHECK: The value is explicitly mentioned throughout the text (e.g., ""radiation-induced intestinal injury (RIII)"") as the condition being studied in the samples analysed by mass spectrometry (the RNA pulldown products).
TRUTH CHECK: The value is factually correct as the paper focuses on the effects and mechanisms of radiation-induced intestinal injury.
COMPLETENESS CHECK: The full set contains the primary condition under study; no other disease states are described for the MS samples.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD041051","","strict","Biological","organ","jejunum","jejunum","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""jejunum"" is a specific part of the intestine, which fits the definition of an organ/tissue.
SOURCE CHECK: The value is present in the text; the ""Biotin-coupled probe pulldown assay"" section states that ""Crypts were extracted from a healthy mouse for protein extraction"" and the ""Separation of villi, crypts, and the remnants of the mice’s intestines"" section specifies that ""jejunum sections... were harvested"" to isolate these crypts, which were then used for the RNA pulldown and subsequent mass spectrometry analysis.
TRUTH CHECK: The mass spectrometry analysis was performed on proteins captured from crypts isolated from the jejunum of a healthy mouse.
COMPLETENESS CHECK: The full set contains ""jejunum"", which accurately describes the source of the material analyzed by MS.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD041051","","strict","Biological","sex","male","male","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value ""male"" is the correct category for the sex field.
SOURCE CHECK: The value is explicitly stated in the text (""male C57BL/6 J mice"") in the context of the mouse model used for the study, which includes the samples analyzed by mass spectrometry.
TRUTH CHECK: The value is factually correct as per the paper.
COMPLETENESS CHECK: The full set contains the only sex mentioned for the animal models used in the study.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD041051","","strict","Biological","species","Mus musculus","Mus musculus","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value is a scientific name for a species, which matches the field definition.
SOURCE CHECK: The value is present in the text; the MS analysis was performed on proteins from a biotin-coupled probe pulldown using crypts extracted from a healthy mouse and circDmbt1(3,4,5,6)-overexpressing 293 T cells (though the primary biological context of the study is the C57BL/6 J mouse model).
TRUTH CHECK: The paper explicitly uses ""mouse"" and ""C57BL/6 J mice"", for which ""Mus musculus"" is the correct scientific name.
COMPLETENESS CHECK: The full set contains the primary species used in the experimental MS context.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD041051","","strict","ExperimentalDesign","factor_value","circRNA (circDmbt1(3,4,5,6))","circRNA (circDmbt1(3,4,5,6)) | radiation-induced intestinal injury","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value describes a specific molecular entity (circRNA) being manipulated/studied, which is a valid experimental factor.
SOURCE CHECK: The value is present in the text; the study focuses on the role of circDmbt1(3,4,5,6) in the context of radiation-induced injury, and this specific circRNA was analyzed via MS (as part of the RNA pulldown associated proteins analysis).
TRUTH CHECK: The value is factually correct as the paper identifies and investigates this specific circRNA.
COMPLETENESS CHECK: The full set of extracted values covers the primary variables of the study (the specific circRNA and the disease/injury state).
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD041051","","strict","ExperimentalDesign","factor_value","radiation-induced intestinal injury","circRNA (circDmbt1(3,4,5,6)) | radiation-induced intestinal injury","high","False","","True","True","False","False","","correct_explicit","TYPE CHECK: The candidate value describes a disease/condition state, which is a valid category for a factor_value.
SOURCE CHECK: The value is explicitly mentioned throughout the paper as the primary condition being studied (RIII).
TRUTH CHECK: The study specifically investigates the effects of radiation-induced intestinal injury (RIII) and the role of circDmbt1(3,4,5,6) in it.
COMPLETENESS CHECK: The full set of extracted values includes both the biological condition (RIII) and the molecular factor (circRNA), covering the primary axes of the experimental design.

TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD041051","","strict","Technical","acquisition_method","data-dependent acquisition","","low","False","","False","False","True","False","","hallucinated","TYPE CHECK: The candidate value ""data-dependent acquisition"" is a valid acquisition scheme name.
SOURCE CHECK: The paper mentions that ""RNA pulldown products were also analyzed by mass spectrometry"" and provides a PRIDE dataset identifier (PXD041051), but the text does not explicitly state the acquisition method (e.g., DDA or DIA) used.
TRUTH CHECK: The value is not mentioned in the provided text.
COMPLETENESS CHECK: The value is not present in the text, so the set is not based on evidence.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: no
VALUE_COMPLETE: no
HALLUCINATED: yes
VERDICT: low
CORRECTED_VALUE: NONE",""
