source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD010357-Sample-1	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 1	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160302_Haura-SCC-PG-06S15101126-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-2	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 2	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160302_Haura-SCC-PG-06S15101136-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-3	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 3	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160302_Haura-SCC-PG-06S15101174-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-4	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 4	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160302_Koomen-SCC-Pool-run04.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-5	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 5	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160303_Haura-SCC-PG-06S15092273-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-6	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 6	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160303_Koomen-SCC-Pool-run06.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-7	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 7	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160304_Haura-SCC-PG-06S15101121-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-8	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 8	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160308_Haura-SCC-PG-06S15092274-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-9	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 9	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160308_Haura-SCC-PG-06S15101166-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-10	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 10	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160308_Haura-SCC-PG-06S15101172-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-11	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 11	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160308_Haura-SCC-PG-06S15101181-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-12	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 12	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160309_Haura-SCC-PG-06S15092278-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-13	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 13	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160309_Haura-SCC-PG-06S15101137-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-14	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 14	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160310_Haura-SCC-PG-06S15092298-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-15	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 15	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160310_Haura-SCC-PG-06S15101157-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-16	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 16	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160310_Haura-SCC-PG-06S15101177-DIA.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
PXD010357-Sample-17	homo sapiens	lung	squamous cell lung cancer	108	not available	mean age = 69.1	run 17	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q Exactive Plus	not available	12	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	proteomic subtype (Inflamed, Redox, Mixed)	5 ppm	10 ppm	orbitrap	20160310_Koomen-SCC-Pool-run14.raw	v1.1.0	HAMLET-agentic v0.1.0	squamous cell lung cancer
