source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD006003-Sample-1	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 1	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20130104_MH_TIL_26_11.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-2	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 2	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20130228_MH_TIL-21_3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-3	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 3	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20130228_MH_TIL-36_3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-4	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 4	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20130228_MH_TIL-3_6.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-5	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 5	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20130228_MH_TIL-9_5.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-6	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 6	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20140429_MH_TIL_40_2_11_140508134314.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-7	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 7	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20161101_MH_SA_PD1_20-2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-8	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 8	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20161101_MH_SA_PD1_32-2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-9	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 9	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20161101_MH_SA_PD1_49-3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-10	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 10	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20161101_MH_SA_PD1_49-5.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
