source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001468-Sample-1	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1922_293T_proteinID_02A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-2	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1928_293T_proteinID_08A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-3	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1923_293T_proteinID_03A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-4	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1929_293T_proteinID_09A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-5	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1939_293T_proteinID_03B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-6	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1938_293T_proteinID_02B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-7	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1925_293T_proteinID_05A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-8	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1924_293T_proteinID_04A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-9	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1946_293T_proteinID_10B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-10	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1906_293T_proteinID_01A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
