source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD039780-Sample-1	Homo sapiens	cervix	cervical adenocarcinoma	epithelial cell	HeLa	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	irradiation (+UV, -UV), probe type (lyso-pacSph, lyso-pacChol)	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Loss of arginine due to transpeptidation;AC=UNIMOD:1287;MT=?;TA=C-term	Orbitrap	Lara_200814_P1371_PH_DH_Chol_5prc_TMT9plex_R1.raw	v1.1.0	HAMLET-agentic v2.1.1	cervical adenocarcinoma
PXD039780-Sample-2	Homo sapiens	cervix	cervical adenocarcinoma	epithelial cell	HeLa	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	irradiation (+UV, -UV), probe type (lyso-pacSph, lyso-pacChol)	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Loss of arginine due to transpeptidation;AC=UNIMOD:1287;MT=?;TA=C-term	Orbitrap	Lara_200814_P1371_PH_DH_Chol_5prc_TMT9plex_R1.raw	v1.1.0	HAMLET-agentic v2.1.1	cervical adenocarcinoma
PXD039780-Sample-3	Homo sapiens	cervix	cervical adenocarcinoma	epithelial cell	HeLa	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	irradiation (+UV, -UV), probe type (lyso-pacSph, lyso-pacChol)	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Loss of arginine due to transpeptidation;AC=UNIMOD:1287;MT=?;TA=C-term	Orbitrap	Lara_200814_P1371_PH_DH_Chol_5prc_TMT9plex_R1.raw	v1.1.0	HAMLET-agentic v2.1.1	cervical adenocarcinoma
PXD039780-Sample-4	Homo sapiens	cervix	cervical adenocarcinoma	epithelial cell	HeLa	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	irradiation (+UV, -UV), probe type (lyso-pacSph, lyso-pacChol)	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Loss of arginine due to transpeptidation;AC=UNIMOD:1287;MT=?;TA=C-term	Orbitrap	Lara_200814_P1371_PH_DH_Chol_5prc_TMT9plex_R1.raw	v1.1.0	HAMLET-agentic v2.1.1	cervical adenocarcinoma
PXD039780-Sample-5	Homo sapiens	cervix	cervical adenocarcinoma	epithelial cell	HeLa	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	irradiation (+UV, -UV), probe type (lyso-pacSph, lyso-pacChol)	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Loss of arginine due to transpeptidation;AC=UNIMOD:1287;MT=?;TA=C-term	Orbitrap	Lara_200814_P1371_PH_DH_Chol_5prc_TMT9plex_R1.raw	v1.1.0	HAMLET-agentic v2.1.1	cervical adenocarcinoma
PXD039780-Sample-6	Homo sapiens	cervix	cervical adenocarcinoma	epithelial cell	HeLa	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	irradiation (+UV, -UV), probe type (lyso-pacSph, lyso-pacChol)	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Loss of arginine due to transpeptidation;AC=UNIMOD:1287;MT=?;TA=C-term	Orbitrap	Lara_200814_P1371_PH_DH_Chol_5prc_TMT9plex_R1.raw	v1.1.0	HAMLET-agentic v2.1.1	cervical adenocarcinoma
PXD039780-Sample-7	Homo sapiens	cervix	cervical adenocarcinoma	epithelial cell	HeLa	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	irradiation (+UV, -UV), probe type (lyso-pacSph, lyso-pacChol)	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Loss of arginine due to transpeptidation;AC=UNIMOD:1287;MT=?;TA=C-term	Orbitrap	Lara_200814_P1371_PH_DH_Sph_5prc_TMT9plex_R1.raw	v1.1.0	HAMLET-agentic v2.1.1	cervical adenocarcinoma
PXD039780-Sample-8	Homo sapiens	cervix	cervical adenocarcinoma	epithelial cell	HeLa	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	irradiation (+UV, -UV), probe type (lyso-pacSph, lyso-pacChol)	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Loss of arginine due to transpeptidation;AC=UNIMOD:1287;MT=?;TA=C-term	Orbitrap	Lara_200814_P1371_PH_DH_Sph_5prc_TMT9plex_R1.raw	v1.1.0	HAMLET-agentic v2.1.1	cervical adenocarcinoma
PXD039780-Sample-9	Homo sapiens	cervix	cervical adenocarcinoma	epithelial cell	HeLa	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	irradiation (+UV, -UV), probe type (lyso-pacSph, lyso-pacChol)	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Loss of arginine due to transpeptidation;AC=UNIMOD:1287;MT=?;TA=C-term	Orbitrap	Lara_200814_P1371_PH_DH_Sph_5prc_TMT9plex_R1.raw	v1.1.0	HAMLET-agentic v2.1.1	cervical adenocarcinoma
PXD039780-Sample-10	Homo sapiens	cervix	cervical adenocarcinoma	epithelial cell	HeLa	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	irradiation (+UV, -UV), probe type (lyso-pacSph, lyso-pacChol)	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Loss of arginine due to transpeptidation;AC=UNIMOD:1287;MT=?;TA=C-term	Orbitrap	Lara_200814_P1371_PH_DH_Sph_5prc_TMT9plex_R1.raw	v1.1.0	HAMLET-agentic v2.1.1	cervical adenocarcinoma
PXD039780-Sample-11	Homo sapiens	cervix	cervical adenocarcinoma	epithelial cell	HeLa	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	irradiation (+UV, -UV), probe type (lyso-pacSph, lyso-pacChol)	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Loss of arginine due to transpeptidation;AC=UNIMOD:1287;MT=?;TA=C-term	Orbitrap	Lara_200814_P1371_PH_DH_Sph_5prc_TMT9plex_R1.raw	v1.1.0	HAMLET-agentic v2.1.1	cervical adenocarcinoma
PXD039780-Sample-12	Homo sapiens	cervix	cervical adenocarcinoma	epithelial cell	HeLa	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	irradiation (+UV, -UV), probe type (lyso-pacSph, lyso-pacChol)	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	NT=Loss of arginine due to transpeptidation;AC=UNIMOD:1287;MT=?;TA=C-term	Orbitrap	Lara_200814_P1371_PH_DH_Sph_5prc_TMT9plex_R1.raw	v1.1.0	HAMLET-agentic v2.1.1	cervical adenocarcinoma
