source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000202-Sample-1	Haloferax volcanii	membrane, cytoplasm	mutant	planktonic cells, sessile cells	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q Exactive Plus, LTQ Orbitrap Elite, TripleTOF 5600+, LTQ Orbitrap XL, Q Exactive HF	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	growth state (planktonic, sessile/biofilm), cell density (OD600 0.08, 0.3, 0.8), and time (24, 48, 72 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	0.3 m/z	orbitrap	110224_OV3_P3_BH_HA_SACO_1_3.raw	v1.1.0	HAMLET-agentic v2.1.0	mutant
PXD000202-Sample-2	Haloferax volcanii	membrane, cytoplasm	mutant	planktonic cells, sessile cells	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q Exactive Plus, LTQ Orbitrap Elite, TripleTOF 5600+, LTQ Orbitrap XL, Q Exactive HF	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	growth state (planktonic, sessile/biofilm), cell density (OD600 0.08, 0.3, 0.8), and time (24, 48, 72 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	0.3 m/z	orbitrap	110224_OV3_P3_BH_HA_SACO_1_7.raw	v1.1.0	HAMLET-agentic v2.1.0	mutant
PXD000202-Sample-3	Haloferax volcanii	membrane, cytoplasm	mutant	planktonic cells, sessile cells	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q Exactive Plus, LTQ Orbitrap Elite, TripleTOF 5600+, LTQ Orbitrap XL, Q Exactive HF	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	growth state (planktonic, sessile/biofilm), cell density (OD600 0.08, 0.3, 0.8), and time (24, 48, 72 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	0.3 m/z	orbitrap	110224_OV3_P3_BH_HA_SACO_1_9.raw	v1.1.0	HAMLET-agentic v2.1.0	mutant
PXD000202-Sample-4	Haloferax volcanii	membrane, cytoplasm	mutant	planktonic cells, sessile cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q Exactive Plus, LTQ Orbitrap Elite, TripleTOF 5600+, LTQ Orbitrap XL, Q Exactive HF	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	growth state (planktonic, sessile/biofilm), cell density (OD600 0.08, 0.3, 0.8), and time (24, 48, 72 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	0.3 m/z	orbitrap	110224_OV3_P3_BH_HA_SACO_2_2.raw	v1.1.0	HAMLET-agentic v2.1.0	mutant
PXD000202-Sample-5	Haloferax volcanii	membrane, cytoplasm	mutant	planktonic cells, sessile cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q Exactive Plus, LTQ Orbitrap Elite, TripleTOF 5600+, LTQ Orbitrap XL, Q Exactive HF	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	growth state (planktonic, sessile/biofilm), cell density (OD600 0.08, 0.3, 0.8), and time (24, 48, 72 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	0.3 m/z	orbitrap	110224_OV3_P3_BH_HA_SACO_2_7.raw	v1.1.0	HAMLET-agentic v2.1.0	mutant
PXD000202-Sample-6	Haloferax volcanii	membrane, cytoplasm	mutant	planktonic cells, sessile cells	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q Exactive Plus, LTQ Orbitrap Elite, TripleTOF 5600+, LTQ Orbitrap XL, Q Exactive HF	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	growth state (planktonic, sessile/biofilm), cell density (OD600 0.08, 0.3, 0.8), and time (24, 48, 72 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	0.3 m/z	orbitrap	110224_OV3_P3_BH_HA_SACO_2_8.raw	v1.1.0	HAMLET-agentic v2.1.0	mutant
PXD000202-Sample-7	Haloferax volcanii	membrane, cytoplasm	mutant	planktonic cells, sessile cells	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q Exactive Plus, LTQ Orbitrap Elite, TripleTOF 5600+, LTQ Orbitrap XL, Q Exactive HF	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	growth state (planktonic, sessile/biofilm), cell density (OD600 0.08, 0.3, 0.8), and time (24, 48, 72 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	0.3 m/z	orbitrap	110317_OV3_P3_BH_HA_SA1_01.raw	v1.1.0	HAMLET-agentic v2.1.0	mutant
PXD000202-Sample-8	Haloferax volcanii	membrane, cytoplasm	mutant	planktonic cells, sessile cells	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q Exactive Plus, LTQ Orbitrap Elite, TripleTOF 5600+, LTQ Orbitrap XL, Q Exactive HF	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	growth state (planktonic, sessile/biofilm), cell density (OD600 0.08, 0.3, 0.8), and time (24, 48, 72 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	0.3 m/z	orbitrap	110317_OV3_P3_BH_HA_SA1_02.raw	v1.1.0	HAMLET-agentic v2.1.0	mutant
PXD000202-Sample-9	Haloferax volcanii	membrane, cytoplasm	mutant	planktonic cells, sessile cells	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q Exactive Plus, LTQ Orbitrap Elite, TripleTOF 5600+, LTQ Orbitrap XL, Q Exactive HF	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	growth state (planktonic, sessile/biofilm), cell density (OD600 0.08, 0.3, 0.8), and time (24, 48, 72 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	0.3 m/z	orbitrap	110317_OV3_P3_BH_HA_SA1_03.raw	v1.1.0	HAMLET-agentic v2.1.0	mutant
PXD000202-Sample-10	Haloferax volcanii	membrane, cytoplasm	mutant	planktonic cells, sessile cells	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q Exactive Plus, LTQ Orbitrap Elite, TripleTOF 5600+, LTQ Orbitrap XL, Q Exactive HF	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	growth state (planktonic, sessile/biofilm), cell density (OD600 0.08, 0.3, 0.8), and time (24, 48, 72 h)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	0.3 m/z	orbitrap	110317_OV3_P3_BH_HA_SA1_04.raw	v1.1.0	HAMLET-agentic v2.1.0	mutant
