source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012988-Sample-1	Mus musculus	not available	normal	myoblast	C2C12	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in protein concentration (5 levels)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=2-pyrrolidone-5-carboxylic acid (Gln);AC=MOD:00040;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	27% NCE, 25.5%, 27 and 30% NCE	QExHF03773.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD012988-Sample-2	Mus musculus	not available	normal	myoblast	C2C12	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in protein concentration (5 levels)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=2-pyrrolidone-5-carboxylic acid (Gln);AC=MOD:00040;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	27% NCE, 25.5%, 27 and 30% NCE	QExHF03761.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD012988-Sample-3	Mus musculus	not available	normal	myoblast	C2C12	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in protein concentration (5 levels)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=2-pyrrolidone-5-carboxylic acid (Gln);AC=MOD:00040;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	27% NCE, 25.5%, 27 and 30% NCE	QExHF03763.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD012988-Sample-4	Mus musculus	not available	normal	myoblast	C2C12	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in protein concentration (5 levels)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=2-pyrrolidone-5-carboxylic acid (Gln);AC=MOD:00040;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	27% NCE, 25.5%, 27 and 30% NCE	QExHF03771.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD012988-Sample-5	Mus musculus	not available	normal	myoblast	C2C12	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in protein concentration (5 levels)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=2-pyrrolidone-5-carboxylic acid (Gln);AC=MOD:00040;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	27% NCE, 25.5%, 27 and 30% NCE	QExHF03757.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD012988-Sample-6	Mus musculus	not available	normal	myoblast	C2C12	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in protein concentration (5 levels)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=2-pyrrolidone-5-carboxylic acid (Gln);AC=MOD:00040;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	27% NCE, 25.5%, 27 and 30% NCE	QExHF03769.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD012988-Sample-7	Mus musculus	not available	normal	myoblast	C2C12	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in protein concentration (5 levels)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=2-pyrrolidone-5-carboxylic acid (Gln);AC=MOD:00040;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	27% NCE, 25.5%, 27 and 30% NCE	QExHF03777.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD012988-Sample-8	Mus musculus	not available	normal	myoblast	C2C12	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in protein concentration (5 levels)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=2-pyrrolidone-5-carboxylic acid (Gln);AC=MOD:00040;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	27% NCE, 25.5%, 27 and 30% NCE	QExHF03775.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD012988-Sample-9	Mus musculus	not available	normal	myoblast	C2C12	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in protein concentration (5 levels)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=2-pyrrolidone-5-carboxylic acid (Gln);AC=MOD:00040;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	27% NCE, 25.5%, 27 and 30% NCE	QExHF03755.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD012988-Sample-10	Mus musculus	not available	normal	myoblast	C2C12	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in protein concentration (5 levels)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=2-pyrrolidone-5-carboxylic acid (Gln);AC=MOD:00040;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	27% NCE, 25.5%, 27 and 30% NCE	QExHF03779.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
