source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000414-Sample-1	Saccharomyces cerevisiae	not available	not available	yeast cells	Σ1278b	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (wild-type, sks1-K39R)	not available	7 ppm	1 m/z	orbitrap	yeast1_scx01.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000414-Sample-2	Saccharomyces cerevisiae	not available	not available	yeast cells	Σ1278b	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (wild-type, sks1-K39R)	not available	7 ppm	1 m/z	orbitrap	yeast1_scx01_control.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000414-Sample-3	Saccharomyces cerevisiae	not available	not available	yeast cells	Σ1278b	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (wild-type, sks1-K39R)	not available	7 ppm	1 m/z	orbitrap	yeast1_scx02.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000414-Sample-4	Saccharomyces cerevisiae	not available	not available	yeast cells	Σ1278b	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	genotype (wild-type, sks1-K39R)	not available	7 ppm	1 m/z	orbitrap	yeast1_scx02_control.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000414-Sample-5	Saccharomyces cerevisiae	not available	not available	yeast cells	Σ1278b	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	genotype (wild-type, sks1-K39R)	not available	7 ppm	1 m/z	orbitrap	yeast1_scx03.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000414-Sample-6	Saccharomyces cerevisiae	not available	not available	yeast cells	Σ1278b	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (wild-type, sks1-K39R)	not available	7 ppm	1 m/z	orbitrap	yeast1_scx03_control.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000414-Sample-7	Saccharomyces cerevisiae	not available	not available	yeast cells	Σ1278b	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (wild-type, sks1-K39R)	not available	7 ppm	1 m/z	orbitrap	yeast1_scx04.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000414-Sample-8	Saccharomyces cerevisiae	not available	not available	yeast cells	Σ1278b	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	genotype (wild-type, sks1-K39R)	not available	7 ppm	1 m/z	orbitrap	yeast1_scx04_control.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000414-Sample-9	Saccharomyces cerevisiae	not available	not available	yeast cells	Σ1278b	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	genotype (wild-type, sks1-K39R)	not available	7 ppm	1 m/z	orbitrap	yeast1_scx05.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000414-Sample-10	Saccharomyces cerevisiae	not available	not available	yeast cells	Σ1278b	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (wild-type, sks1-K39R)	not available	7 ppm	1 m/z	orbitrap	yeast1_scx05_control.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000414-Sample-11	Saccharomyces cerevisiae	not available	not available	yeast cells	Σ1278b	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	genotype (wild-type, sks1-K39R)	not available	7 ppm	1 m/z	orbitrap	yeast1_scx06.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000414-Sample-12	Saccharomyces cerevisiae	not available	not available	yeast cells	Σ1278b	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (wild-type, sks1-K39R)	not available	7 ppm	1 m/z	orbitrap	yeast1_scx06_control.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
