source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000208-Sample-1	Homo sapiens	blood	normal	T cells	CEM	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	bait protein (HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11, EGFP control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Tryptophan oxidation to beta-unsaturated-2,4-bis-tryptophandione;AC=UNIMOD:1923;MT=Variable;TA=W	50 ppm, 10 ppm	0.5 m/z	orbitrap	2011-01-20_HDAC1_GFP_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000208-Sample-2	Homo sapiens	blood	normal	T cells	CEM	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	bait protein (HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11, EGFP control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Tryptophan oxidation to beta-unsaturated-2,4-bis-tryptophandione;AC=UNIMOD:1923;MT=Variable;TA=W	50 ppm, 10 ppm	0.5 m/z	orbitrap	2011-03-31_GFP_03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000208-Sample-3	Homo sapiens	blood	normal	T cells	CEM	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11, EGFP control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Tryptophan oxidation to beta-unsaturated-2,4-bis-tryptophandione;AC=UNIMOD:1923;MT=Variable;TA=W	50 ppm, 10 ppm	0.5 m/z	orbitrap	2011-04-16_HDAC5_GFP_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000208-Sample-4	Homo sapiens	blood	normal	T cells	CEM	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	bait protein (HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11, EGFP control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Tryptophan oxidation to beta-unsaturated-2,4-bis-tryptophandione;AC=UNIMOD:1923;MT=Variable;TA=W	50 ppm, 10 ppm	0.5 m/z	orbitrap	2011-05-04_HDAC3_GFP_02.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000208-Sample-5	Homo sapiens	blood	normal	T cells	CEM	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	bait protein (HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11, EGFP control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Tryptophan oxidation to beta-unsaturated-2,4-bis-tryptophandione;AC=UNIMOD:1923;MT=Variable;TA=W	50 ppm, 10 ppm	0.5 m/z	orbitrap	2011-05-04_HDAC5_GFP_02.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000208-Sample-6	Homo sapiens	blood	normal	T cells	CEM	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	bait protein (HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11, EGFP control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Tryptophan oxidation to beta-unsaturated-2,4-bis-tryptophandione;AC=UNIMOD:1923;MT=Variable;TA=W	50 ppm, 10 ppm	0.5 m/z	orbitrap	2011-05-25_HDAC2_GFP_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000208-Sample-7	Homo sapiens	blood	normal	T cells	CEM	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11, EGFP control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Tryptophan oxidation to beta-unsaturated-2,4-bis-tryptophandione;AC=UNIMOD:1923;MT=Variable;TA=W	50 ppm, 10 ppm	0.5 m/z	orbitrap	2011-4-6-HDAC1_IDIRT01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000208-Sample-8	Homo sapiens	blood	normal	T cells	CEM	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11, EGFP control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Tryptophan oxidation to beta-unsaturated-2,4-bis-tryptophandione;AC=UNIMOD:1923;MT=Variable;TA=W	50 ppm, 10 ppm	0.5 m/z	orbitrap	2011-4-6-HDAC1_IDIRT03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000208-Sample-9	Homo sapiens	blood	normal	T cells	CEM	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11, EGFP control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Tryptophan oxidation to beta-unsaturated-2,4-bis-tryptophandione;AC=UNIMOD:1923;MT=Variable;TA=W	50 ppm, 10 ppm	0.5 m/z	orbitrap	2011-4-6-HDAC1_IDIRT04.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000208-Sample-10	Homo sapiens	blood	normal	T cells	CEM	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11, EGFP control)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Tryptophan oxidation to beta-unsaturated-2,4-bis-tryptophandione;AC=UNIMOD:1923;MT=Variable;TA=W	50 ppm, 10 ppm	0.5 m/z	orbitrap	2011-4-6-HDAC1_IDIRT05.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
