source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD004684-Sample-1	Homo sapiens	lung	lung squamous cell carcinoma	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (squamous cell carcinoma, adjacent tissue); MS method (DDA, DIA, LF, TMT)	not available	dithiothreitol	iodoacetamide	Orbitrap	NCE 28, NCE 30	N295-1.raw	v1.1.0	HAMLET-agentic v2.2.5	lung squamous cell carcinoma
PXD004684-Sample-2	Homo sapiens	lung	lung squamous cell carcinoma	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (squamous cell carcinoma, adjacent tissue); MS method (DDA, DIA, LF, TMT)	not available	dithiothreitol	iodoacetamide	Orbitrap	NCE 28, NCE 30	N295-2.raw	v1.1.0	HAMLET-agentic v2.2.5	lung squamous cell carcinoma
PXD004684-Sample-3	Homo sapiens	lung	lung squamous cell carcinoma	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (squamous cell carcinoma, adjacent tissue); MS method (DDA, DIA, LF, TMT)	not available	dithiothreitol	iodoacetamide	Orbitrap	NCE 28, NCE 30	T303-2.raw	v1.1.0	HAMLET-agentic v2.2.5	lung squamous cell carcinoma
PXD004684-Sample-4	Homo sapiens	lung	lung squamous cell carcinoma	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (squamous cell carcinoma, adjacent tissue); MS method (DDA, DIA, LF, TMT)	not available	dithiothreitol	iodoacetamide	Orbitrap	NCE 28, NCE 30	T298-1.raw	v1.1.0	HAMLET-agentic v2.2.5	lung squamous cell carcinoma
PXD004684-Sample-5	Homo sapiens	lung	lung squamous cell carcinoma	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (squamous cell carcinoma, adjacent tissue); MS method (DDA, DIA, LF, TMT)	not available	dithiothreitol	iodoacetamide	Orbitrap	NCE 28, NCE 30	N299-1.raw	v1.1.0	HAMLET-agentic v2.2.5	lung squamous cell carcinoma
PXD004684-Sample-6	Homo sapiens	lung	lung squamous cell carcinoma	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	not available	Q Exactive Plus	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tissue type (squamous cell carcinoma, adjacent tissue); MS method (DDA, DIA, LF, TMT)	not available	dithiothreitol	iodoacetamide	Orbitrap	NCE 28, NCE 30	T298-2.raw	v1.1.0	HAMLET-agentic v2.2.5	lung squamous cell carcinoma
PXD004684-Sample-7	Homo sapiens	lung	lung squamous cell carcinoma	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (squamous cell carcinoma, adjacent tissue); MS method (DDA, DIA, LF, TMT)	not available	dithiothreitol	iodoacetamide	Orbitrap	NCE 28, NCE 30	N296-2.raw	v1.1.0	HAMLET-agentic v2.2.5	lung squamous cell carcinoma
PXD004684-Sample-8	Homo sapiens	lung	lung squamous cell carcinoma	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (squamous cell carcinoma, adjacent tissue); MS method (DDA, DIA, LF, TMT)	not available	dithiothreitol	iodoacetamide	Orbitrap	NCE 28, NCE 30	T303-1.raw	v1.1.0	HAMLET-agentic v2.2.5	lung squamous cell carcinoma
PXD004684-Sample-9	Homo sapiens	lung	lung squamous cell carcinoma	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (squamous cell carcinoma, adjacent tissue); MS method (DDA, DIA, LF, TMT)	not available	dithiothreitol	iodoacetamide	Orbitrap	NCE 28, NCE 30	N294-2.raw	v1.1.0	HAMLET-agentic v2.2.5	lung squamous cell carcinoma
PXD004684-Sample-10	Homo sapiens	lung	lung squamous cell carcinoma	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	not available	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (squamous cell carcinoma, adjacent tissue); MS method (DDA, DIA, LF, TMT)	not available	dithiothreitol	iodoacetamide	Orbitrap	NCE 28, NCE 30	N299-2.raw	v1.1.0	HAMLET-agentic v2.2.5	lung squamous cell carcinoma
