source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000429-Sample-1	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Feb06_A2_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-2	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Feb06_A4_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-3	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Feb06_A5_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-4	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Feb06_B5_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-5	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Feb07_A20_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-6	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Feb08_A17_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-7	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Feb09_A6_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-8	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Feb09_A7_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-9	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Jul03_C1_30_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-10	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Jul03_C1_31_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-11	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Jul03_D1_25_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-12	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Jun13_B2_9_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-13	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Jun14_A2_20_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-14	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Jun15_A2_27_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-15	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Jun18_D2_1_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-16	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Jun18_D2_3_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-17	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Jun18_D2_4_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-18	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Jun19_D2_9_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-19	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Jun20_D2_20_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
PXD000429-Sample-20	Aeromonas salmonicida	growth phase culture	furunculosis	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	not available	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	strain (wt, ΔascV mutant), growth phase (GP, SP), sample type (SN, pellet)	not available	6 ppm	0.5 Da	orbitrap	12Jun21_C2_25_PVB_i01.raw	v1.1.0	HAMLET-agentic v2.1.0	furunculosis
