source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000115-Sample-1	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	090604_05.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-2	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	090605_01.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-3	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	090605_02.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-4	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	090605_03.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-5	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	090605_04.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-6	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	090605_05.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-7	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	090605_06.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-8	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	090605_07.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-9	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_01.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-10	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_02.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
