source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000313-Sample-1	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	10_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-2	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	10_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-3	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	10_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-4	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	10_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-5	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	10_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-6	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	10_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-7	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	10_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-8	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	10_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-9	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	10_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-10	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	10_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
