source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000174-Sample-1	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX21.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-2	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX29.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-3	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX35.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-4	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX38.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-5	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_rerun_SCX21.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-6	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_rerun_SCX28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-7	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_rerun_SCX33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-8	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_rerun_SCX39.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-9	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX25.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-10	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX27.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
