source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000376-Sample-1	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	6 ppm	9 ppm	orbitrap	A10.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-2	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	6 ppm	9 ppm	orbitrap	A11.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-3	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	not applicable	6 ppm	9 ppm	orbitrap	C10.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-4	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	not applicable	6 ppm	9 ppm	orbitrap	C12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-5	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	not applicable	6 ppm	9 ppm	orbitrap	Individualome_Naive-Memory_iTRAQ_f06.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-6	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	6 ppm	9 ppm	orbitrap	Individualome_Naive-Memory_iTRAQ_f07.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-7	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	not applicable	6 ppm	9 ppm	orbitrap	Individualome_Naive-Memory_iTRAQ_f12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-8	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	6 ppm	9 ppm	orbitrap	Individualome_Naive-Memory_iTRAQ_f14.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-9	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	not applicable	6 ppm	9 ppm	orbitrap	Individualome_Naive-Memory_iTRAQ_f17.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000376-Sample-10	Homo sapiens	blood	normal	naïve CD4+ T cells, resting memory CD4+ T cells	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (naïve CD4+ T cells, resting memory CD4+ T cells)	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	not applicable	6 ppm	9 ppm	orbitrap	Individualome_Naive-Memory_iTRAQ_f21.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
