source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000461-Sample-1	Mus musculus	hematopoietic	not available	hematopoietic cell	Ba/F3, U2OS, 293T	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	protein expression (3xFN-Tel-TAL, 3xFNLDD)	not available	3718.8 ppm	0.4 m/z	orbitrap	130111_Fujii_NC_1_8u.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000461-Sample-2	Mus musculus	hematopoietic	not available	hematopoietic cell	Ba/F3, U2OS, 293T	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	protein expression (3xFN-Tel-TAL, 3xFNLDD)	not available	3718.8 ppm	0.4 m/z	orbitrap	130111_Fujii_NC_2_8u.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000461-Sample-3	Mus musculus	hematopoietic	not available	hematopoietic cell	Ba/F3, U2OS, 293T	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	protein expression (3xFN-Tel-TAL, 3xFNLDD)	not available	3718.8 ppm	0.4 m/z	orbitrap	130111_Fujii_NC_3_8u.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000461-Sample-4	Mus musculus	hematopoietic	not available	hematopoietic cell	Ba/F3, U2OS, 293T	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	protein expression (3xFN-Tel-TAL, 3xFNLDD)	not available	3718.8 ppm	0.4 m/z	orbitrap	130111_Fujii_NC_4_8u.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000461-Sample-5	Mus musculus	hematopoietic	not available	hematopoietic cell	Ba/F3, U2OS, 293T	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	protein expression (3xFN-Tel-TAL, 3xFNLDD)	not available	3718.8 ppm	0.4 m/z	orbitrap	130111_Fujii_NC_5_8u.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000461-Sample-6	Mus musculus	hematopoietic	not available	hematopoietic cell	Ba/F3, U2OS, 293T	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	protein expression (3xFN-Tel-TAL, 3xFNLDD)	not available	3718.8 ppm	0.4 m/z	orbitrap	130111_Fujii_T_10_8u.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000461-Sample-7	Mus musculus	hematopoietic	not available	hematopoietic cell	Ba/F3, U2OS, 293T	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	protein expression (3xFN-Tel-TAL, 3xFNLDD)	not available	3718.8 ppm	0.4 m/z	orbitrap	130111_Fujii_T_6_8u.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000461-Sample-8	Mus musculus	hematopoietic	not available	hematopoietic cell	Ba/F3, U2OS, 293T	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	protein expression (3xFN-Tel-TAL, 3xFNLDD)	not available	3718.8 ppm	0.4 m/z	orbitrap	130111_Fujii_T_7_8u.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000461-Sample-9	Mus musculus	hematopoietic	not available	hematopoietic cell	Ba/F3, U2OS, 293T	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	protein expression (3xFN-Tel-TAL, 3xFNLDD)	not available	3718.8 ppm	0.4 m/z	orbitrap	130111_Fujii_T_8_8u.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000461-Sample-10	Mus musculus	hematopoietic	not available	hematopoietic cell	Ba/F3, U2OS, 293T	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	protein expression (3xFN-Tel-TAL, 3xFNLDD)	not available	3718.8 ppm	0.4 m/z	orbitrap	130111_Fujii_T_9_8u.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000461-Sample-11	Mus musculus	hematopoietic	not available	hematopoietic cell	Ba/F3, U2OS, 293T	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	protein expression (3xFN-Tel-TAL, 3xFNLDD)	not available	3718.8 ppm	0.4 m/z	orbitrap	130814_Fujii_1NC_1_8u.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
