source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000605-Sample-1	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_10.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-2	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_10.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-3	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_10.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-4	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_10.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-5	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-6	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-7	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-8	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-9	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_27.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-10	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_27.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
