source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD004242-Sample-1	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150618_QEp1_LC7_PhGe_SA_Plate1B_24_1.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-2	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150701_QEp1_LC7_PhGe_SA_Plate3A_40_4.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-3	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150811_QEp1_LC7_PhGe_SA_Plate2B_29_2.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-4	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150731_QEp1_LC7_PhGe_SA_Plate4E_03_3.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-5	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150917_QEp1_LC8_PhGe_SA_Plate3D_51_2.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-6	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150811_QEp1_LC7_PhGe_SA_Plate2B_21_7.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-7	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150624_QEp1_LC7_PhGe_SA_Plate2A_22_7.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-8	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150901_QEp1_LC7_PhGe_SA_Plate1E_1_6.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-9	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150618_QEp1_LC7_PhGe_SA_Plate1B_30_7.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-10	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150907_QEp1_LC7_PhGe_SA_Plate2D_49_2.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-11	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150618_QEp1_LC7_PhGe_SA_Plate1B_02_7.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-12	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150624_QEp1_LC7_PhGe_SA_Plate2A_38_7.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-13	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150901_QEp1_LC7_PhGe_SA_Plate1E_45_7.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-14	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150907_QEp1_LC7_PhGe_SA_Plate2D_29_6.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-15	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150912_QEp1_LC7_PhGe_SA_Plate3D_48_4.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-16	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150901_QEp1_LC7_PhGe_SA_Plate1E_30_5.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-17	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150805_QEp1_LC7_PhGe_SA_Plate1D_30_4.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-18	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150805_QEp1_LC7_PhGe_SA_Plate1D_41_7.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-19	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150827_QEp1_LC7_PhGe_SA_Plate2C_42_3.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-20	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150917_QEp1_LC7_PhGe_SA_Plate3B_35_1.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-21	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150827_QEp1_LC7_PhGe_SA_Plate2C_06_6.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-22	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150827_QEp1_LC7_PhGe_SA_Plate2C_38_1.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-23	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150824_QEp1_LC7_PhGe_SA_Plate4D_14_6.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-24	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150907_QEp1_LC7_PhGe_SA_Plate2D_36_7.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-25	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150701_QEp1_LC7_PhGe_SA_Plate3A_37_1.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-26	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150827_QEp1_LC7_PhGe_SA_Plate2C_38_6.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-27	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150731_QEp1_LC7_PhGe_SA_Plate4E_43_7.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-28	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150917_QEp1_LC7_PhGe_SA_Plate3C_37_6.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-29	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150805_QEp1_LC7_PhGe_SA_Plate1D_30_5.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-30	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150701_QEp1_LC7_PhGe_SA_Plate3A_26_4.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-31	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 31	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150901_QEp1_LC7_PhGe_SA_Plate1E_19_2.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-32	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 32	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150917_QEp1_LC7_PhGe_SA_Plate4C_03_7.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-33	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 33	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150618_QEp1_LC7_PhGe_SA_Plate1B_30_3.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
