source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD009157-Sample-1	P. falciparum	blood	malaria	schizonts	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (RAP, mock)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	92-149139488_C1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD009157-Sample-2	P. falciparum	blood	malaria	schizonts	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (RAP, mock)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	92-149139489_D1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD009157-Sample-3	P. falciparum	blood	malaria	schizonts	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (RAP, mock)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	92-149138155_A1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD009157-Sample-4	P. falciparum	blood	malaria	schizonts	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (RAP, mock)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	92-149139486_A1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD009157-Sample-5	P. falciparum	blood	malaria	schizonts	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (RAP, mock)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	92-149138154_A1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD009157-Sample-6	P. falciparum	blood	malaria	schizonts	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (RAP, mock)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	92-149139491_F1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD009157-Sample-7	P. falciparum	blood	malaria	schizonts	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (RAP, mock)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	92-149139493_H1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD009157-Sample-8	P. falciparum	blood	malaria	schizonts	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (RAP, mock)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	92-149139492_G1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD009157-Sample-9	P. falciparum	blood	malaria	schizonts	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (RAP, mock)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	92-149139490_E1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD009157-Sample-10	P. falciparum	blood	malaria	schizonts	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (RAP, mock)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	Orbitrap	92-149139487_B1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
