source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000385-Sample-1	Homo sapiens	amniotic fluid	trisomy 21, normal	amniocytes	not available	female	15 to 21 weeks of gestation	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	chromosomal status (T21, CN)	not available	20 ppm	0.5 Da	orbitrap	Jane_02A09_Sialic1_tube_01.raw	v1.1.0	HAMLET-agentic v2.1.0	trisomy 21, normal
PXD000385-Sample-2	Homo sapiens	amniotic fluid	trisomy 21, normal	amniocytes	not available	female	15 to 21 weeks of gestation	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	chromosomal status (T21, CN)	not available	20 ppm	0.5 Da	orbitrap	Jane_02A09_Sialic1_tube_02.raw	v1.1.0	HAMLET-agentic v2.1.0	trisomy 21, normal
PXD000385-Sample-3	Homo sapiens	amniotic fluid	trisomy 21, normal	amniocytes	not available	female	15 to 21 weeks of gestation	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	chromosomal status (T21, CN)	not available	20 ppm	0.5 Da	orbitrap	Jane_02A09_Sialic1_tube_03.raw	v1.1.0	HAMLET-agentic v2.1.0	trisomy 21, normal
PXD000385-Sample-4	Homo sapiens	amniotic fluid	trisomy 21, normal	amniocytes	not available	female	15 to 21 weeks of gestation	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	chromosomal status (T21, CN)	not available	20 ppm	0.5 Da	orbitrap	Jane_02A09_Sialic1_tube_04.raw	v1.1.0	HAMLET-agentic v2.1.0	trisomy 21, normal
PXD000385-Sample-5	Homo sapiens	amniotic fluid	trisomy 21, normal	amniocytes	not available	female	15 to 21 weeks of gestation	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	chromosomal status (T21, CN)	not available	20 ppm	0.5 Da	orbitrap	Jane_02A09_Sialic1_tube_05.raw	v1.1.0	HAMLET-agentic v2.1.0	trisomy 21, normal
PXD000385-Sample-6	Homo sapiens	amniotic fluid	trisomy 21, normal	amniocytes	not available	female	15 to 21 weeks of gestation	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	chromosomal status (T21, CN)	not available	20 ppm	0.5 Da	orbitrap	Jane_02A09_Sialic1_tube_06.raw	v1.1.0	HAMLET-agentic v2.1.0	trisomy 21, normal
PXD000385-Sample-7	Homo sapiens	amniotic fluid	trisomy 21, normal	amniocytes	not available	female	15 to 21 weeks of gestation	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	chromosomal status (T21, CN)	not available	20 ppm	0.5 Da	orbitrap	Jane_02A09_Sialic1_tube_07.raw	v1.1.0	HAMLET-agentic v2.1.0	trisomy 21, normal
PXD000385-Sample-8	Homo sapiens	amniotic fluid	trisomy 21, normal	amniocytes	not available	female	15 to 21 weeks of gestation	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	chromosomal status (T21, CN)	not available	20 ppm	0.5 Da	orbitrap	Jane_02A09_Sialic1_tube_08.raw	v1.1.0	HAMLET-agentic v2.1.0	trisomy 21, normal
PXD000385-Sample-9	Homo sapiens	amniotic fluid	trisomy 21, normal	amniocytes	not available	female	15 to 21 weeks of gestation	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	chromosomal status (T21, CN)	not available	20 ppm	0.5 Da	orbitrap	Jane_02A09_Sialic1_tube_09.raw	v1.1.0	HAMLET-agentic v2.1.0	trisomy 21, normal
PXD000385-Sample-10	Homo sapiens	amniotic fluid	trisomy 21, normal	amniocytes	not available	female	15 to 21 weeks of gestation	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	chromosomal status (T21, CN)	not available	20 ppm	0.5 Da	orbitrap	Jane_02A09_Sialic1_tube_10.raw	v1.1.0	HAMLET-agentic v2.1.0	trisomy 21, normal
