source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD006195-Sample-1	Escherichia coli	not available	normal	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13359.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-2	Escherichia coli	not available	normal	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23117.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-3	Escherichia coli	not available	normal	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13371.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-4	Escherichia coli	not available	normal	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13363.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-5	Escherichia coli	not available	normal	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23103.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-6	Escherichia coli	not available	normal	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13369.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-7	Escherichia coli	not available	normal	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13385.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-8	Escherichia coli	not available	normal	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23101.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-9	Escherichia coli	not available	normal	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23107.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-10	Escherichia coli	not available	normal	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23091.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
