source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000341-Sample-1	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B0101213_001.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-2	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B0101213_004.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-3	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B0101213_010.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-4	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B0101213_011.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-5	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B0101213_020.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-6	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B0101213_021.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-7	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B0101213_027.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-8	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B0101213_041.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-9	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B090306_008.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-10	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B090307_008.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-11	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B090310_012.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-12	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B090311_010.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-13	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B101210_030.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-14	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B101210_045.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-15	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B101210_048.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-16	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B110221_006.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-17	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B110221_010.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-18	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B110221_015.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-19	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B110221_020.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-20	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B110221_023.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
PXD000341-Sample-21	Homo sapiens	blood	t-cell lymphoma	T cells	Jurkat (CL20), JCam2.5	not available	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap;AC=MS:1000449	not available	not available	not available	not available	genotype (LAT-sufficient, LAT-defective), time (0, 0.5, 5, 10, 20 min)	not available	8 ppm	0.6 m/z	orbitrap	B110221_031.raw	v1.1.0	HAMLET-agentic v2.1.0	t-cell lymphoma
