source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD031991-Sample-1	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	2020MH001_CRNA_001_02_20pto.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-2	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_27_01_Spizello2_CID.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-3	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_06_01_Human_CID.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-4	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_08_01_Sycon2_HCD.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-5	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150625_S_ASIR_01_02_Acanth1_CID_Fusion.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-6	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_26_03_HCD_Spizellomyces.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-7	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_18_01_Thalas2_HCD.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-8	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	2021MH000_CRNA_003_01.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-9	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_01_04_CID_Bigelowiella.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-10	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_33_01_Sycon2_CID.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
