source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000561-Sample-1	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	not available	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Liver_Gel_Velos_24_f07.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-2	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	not available	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Kidney_Gel_Velos_9_f09.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-3	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_NKcells_Gel_Elite_78_f13.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-4	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Brain_Gel_Velos_16_f21.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-5	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Platelets_Gel_Velos_36_f36.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-6	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Liver_Gel_Elite_83_f16.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-7	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Liver_Gel_Velos_11_f26.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-8	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Heart_Gel_Velos_21_f24.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-9	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Ovary_bRP_Velos_41_f15.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-10	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_CD4Tcells_bRP_Elite_28_f08.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
