source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000594-Sample-1	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	not available	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_1.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-2	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	not available	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_10.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-3	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_11.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-4	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_12.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-5	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_13.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-6	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_14.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-7	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_15.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-8	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	not available	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_16.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-9	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	not available	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_17.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-10	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_18.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-11	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	not available	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_19.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-12	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	not available	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_2.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-13	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	not available	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_20.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-14	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	not available	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_21.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-15	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	not available	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_22.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-16	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	not available	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_23.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-17	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	not available	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_24.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000594-Sample-18	Glossina morsitans morsitans	peritrophic matrix	not available	not available	male	72 hours old	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ, LTQ-Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	digestion method (in-gel, in-solution)	not available	10 ppm, 0.6 ppm	0.6 Da	orbitrap	ingel_25.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
