source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[modification parameters]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013753-Sample-1	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-19.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-2	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-2.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-3	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-12.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-4	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-20.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-5	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-7.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-6	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-1.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-7	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-10.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-8	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-4.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-9	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-11.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-10	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-13.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
