source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000524-Sample-1	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	not available	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	C-FGF15-rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000524-Sample-2	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	not available	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	C-FGF15-rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000524-Sample-3	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	C-FGF15-rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000524-Sample-4	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	C-Pax6-rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000524-Sample-5	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	C-Pax6-rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000524-Sample-6	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	C-Pax6-rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000524-Sample-7	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	fC-FGF15-rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000524-Sample-8	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	fC-FGF15-rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000524-Sample-9	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	fC-FGF15-rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000524-Sample-10	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	fC-Pax6-rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000524-Sample-11	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	fC-Pax6-rep2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000524-Sample-12	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	fC-Pax6-rep3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000524-Sample-13	Mus musculus	not available	normal	embryonic stem cell	E14	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	cytosine modification (C, 5mC, 5hmC, 5fC), DNA probe (Pax6, Fgf15)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Lysine oxidation to aminoadipic semialdehyde;AC=UNIMOD:352;MT=Variable;TA=K	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	8 ppm	0.3 m/z	orbitrap	hmC-FGF15-rep1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
