source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008934-Sample-1	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1462.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-2	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1136.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-3	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1119.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-4	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1383.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-5	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1304.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-6	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1085.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-7	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1205.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-8	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1311.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-9	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1288.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-10	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1535.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
