"paper_id","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","issue_summary","corrected_value"
"PXD045770","BiologicalAgent","species","Homo sapiens","Homo sapiens","medium","False","","True","False","False","TYPE CHECK:        The candidate value is a scientific name of an organism, which matches the species field definition.
SOURCE CHECK:      The paper explicitly mentions ""human (SGBS)"" and ""Homo sapiens"" in the protein database search section.
TRUTH CHECK:       The value is factually correct as the study used human SGBS cells.
COMPLETENESS CHECK: The full set of extracted values only contains ""Homo sapiens"", but the paper also uses mouse (3T3-L1) cells (""Mus musculus"").
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           medium
CORRECTED_VALUE:   [""Homo sapiens"", ""Mus musculus""]","Homo sapiens, Mus musculus"
"PXD045770","BiologicalAgent","organ","adipose","adipose","low","True","","False","False","False","TYPE CHECK:        The candidate value ""adipose"" refers to a tissue type, which fits the definition of the organ/tissue field.
SOURCE CHECK:      The paper describes the study of ""adipose tissue"" and ""adipocyte models"" (SGBS and 3T3-L1).
TRUTH CHECK:       The study focuses on adipogenesis (the formation of adipose tissue) using adipocyte cell lines.
COMPLETENESS CHECK:    The full set contains ""adipose"", which accurately captures the tissue of origin for the models used.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD045770","BiologicalAgent","cell_type","adipocyte","adipocyte","high","False","","True","True","False","TYPE CHECK: Yes, ""adipocyte"" is a cell type.
SOURCE CHECK: Yes, the paper explicitly mentions ""adipocyte models"" and ""differentiation of SGBS and 3T3-L1 preadipocytes into mature adipocytes"".
TRUTH CHECK: Yes, the study focuses on the adipogenesis of these cells.
COMPLETENESS CHECK: The full set contains ""adipocyte"", which accurately describes the cell lineage/type studied across both models.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD045770","BiologicalAgent","disease","normal","normal","high","False","","True","True","False","TYPE CHECK:        The candidate value ""normal"" is a valid category for the disease field, used to describe healthy controls.
SOURCE CHECK:      The paper uses SGBS and 3T3-L1 cell lines to study the process of adipogenesis; there is no mention of a disease state or a specific pathology being modeled.
TRUTH CHECK:       The study focuses on the standard differentiation of preadipocytes into mature adipocytes, which represents a normal physiological process rather than a disease state.
COMPLETENESS CHECK: The full set contains only ""normal"", which accurately reflects the absence of a disease condition in the experimental models.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD045770","BiologicalAgent","material_type","cell line","cell line","high","False","","True","True","False","TYPE CHECK:        The candidate value ""cell line"" matches the defined categories for material_type.
SOURCE CHECK:      The paper explicitly mentions the use of ""human (SGBS) and mouse (3T3-L1) adipocyte models"" and refers to them as ""both cell lines"" in the abstract and results.
TRUTH CHECK:       The use of SGBS and 3T3-L1 cell lines is factually correct as described in the text.
COMPLETENESS CHECK: The full set of extracted values contains ""cell line"", which exhaustively covers the material used for the proteomics experiments.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD045770","BiologicalAgent","cell_line","SGBS, 3T3-L1","SGBS, 3T3-L1","high","False","","True","True","False","TYPE CHECK:        Yes, these are names of immortalized cell lines.
SOURCE CHECK:      Yes, both ""SGBS"" and ""3T3-L1"" are explicitly mentioned throughout the text.
TRUTH CHECK:       Yes, the paper describes the use of human SGBS and mouse 3T3-L1 cell lines.
COMPLETENESS CHECK: The full set contains both cell lines used in the study.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD045770","BiologicalAgent","sex","male","male","high","False","","True","True","False","TYPE CHECK: The candidate value ""male"" is a valid category for the sex field.
SOURCE CHECK: The paper explicitly states ""Human SGBS cells (RRID:CVCL_GS28, male)"" in the SGBS cell culture section.
TRUTH CHECK: The value is factually correct as per the text.
COMPLETENESS CHECK: The full set contains the only sex mentioned in the paper.
TYPE_CORRECT: yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT: yes
VALUE_COMPLETE: yes
HALLUCINATED: no
VERDICT: high
CORRECTED_VALUE: NONE",""
"PXD045770","TechnicalAgent","acquisition_method","data-dependent acquisition","data-dependent acquisition","high","False","","True","True","False","TYPE CHECK:        The candidate value is a valid MS acquisition scheme.
SOURCE CHECK:      The text explicitly states ""All samples were analysed in data-dependent acquisition"".
TRUTH CHECK:       The value is factually correct as described in the paper.
COMPLETENESS CHECK: The full set contains the only acquisition method mentioned for the proteomics experiments.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD045770","TechnicalAgent","alkylation_reagent","iodacetamid (IAA)","iodacetamid (IAA)","high","False","","True","True","False","TYPE CHECK:        The candidate value is a chemical used for cysteine alkylation, which matches the field definition.
SOURCE CHECK:      The text explicitly mentions ""alkylated with 10 mM iodacetamid (IAA; Merck, Germany)"" in the ""Immunoaffinity purification of acetylated lysines"" section and ""alkylated with 100 mM IAA"" in the ""Phosphopeptide enrichment"" section.
TRUTH CHECK:       The value is factually correct as stated in the paper.
COMPLETENESS CHECK: The full set contains the only alkylation reagent mentioned in the text.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD045770","TechnicalAgent","cleavage_agent","trypsin","trypsin","high","False","","True","True","False","TYPE CHECK:        The candidate value ""trypsin"" is a protease used for protein digestion, which matches the field definition.
SOURCE CHECK:      The text explicitly mentions ""trypsin (Promega, USA)"" in the ""Immunoaffinity purification of acetylated lysines"" section and ""trypsin in a 1:40 (enzyme:protein) ratio"" in the ""Phosphopeptide enrichment"" section.
TRUTH CHECK:       The value is factually correct as it is the protease used for digestion in the described experiments.
COMPLETENESS CHECK: The full set of extracted values contains only ""trypsin"", which is the only cleavage agent mentioned in the paper.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD045770","TechnicalAgent","collision_energy","NCE of 28, NCE of 34","NCE of 28, NCE of 34","high","False","","True","True","False","TYPE CHECK:        The candidate value represents normalized collision energies, which matches the field definition.
SOURCE CHECK:      The text explicitly mentions ""normalized collision energy (NCE) of 28"" for acetyl-peptides and ""an NCE of 34"" for phosphopeptides.
TRUTH CHECK:       The values are factually correct as stated in the ""Mass spectrometry peptide data acquisition"" section.
COMPLETENESS CHECK: The full set captures both NCE values mentioned for the different peptide types in the study.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD045770","TechnicalAgent","enrichment_method","immunoaffinity purification, TiO2, Fe-NTA","immunoaffinity purification, TiO2, Fe-NTA","high","False","","True","True","False","TYPE CHECK:        The candidate value lists enrichment protocols, which matches the definition.
SOURCE CHECK:      The text explicitly mentions ""immunoaffinity purification"" for acetylated lysines, and ""High-Select™ TiO2 Phosphopeptide Enrichment Kit"" and ""High-Select™ Fe-NTA Phosphopeptide Enrichment Kit"" for phosphopeptides.
TRUTH CHECK:       The values are factually correct based on the methods section.
COMPLETENESS CHECK: The full set of extracted values covers all three enrichment strategies described in the paper.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD045770","TechnicalAgent","instrument","Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer","Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer","high","False","","True","True","False","TYPE CHECK:        The candidate value is a mass spectrometer make and model, which matches the field definition.
SOURCE CHECK:      The value is explicitly mentioned in the ""Mass spectrometry peptide data acquisition"" section.
TRUTH CHECK:       The value is factually correct as stated in the text.
COMPLETENESS CHECK: The full set contains the only mass spectrometer used for the proteomics analysis described.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD045770","TechnicalAgent","label","label-free quantification (LFQ), tandem mass tag (TMT) labelling (TMT10-plexTM)","label-free quantification (LFQ), tandem mass tag (TMT) labelling (TMT10-plexTM)","high","False","","True","True","False","TYPE CHECK:        The candidate value describes labeling methods, which matches the field definition.
SOURCE CHECK:      Both ""label-free quantification (LFQ)"" and ""tandem mass tag (TMT) labelling (TMT10-plexTM)"" are explicitly mentioned in the ""Proteome and PTM analysis"" and ""Mass spectrometry peptide data acquisition"" sections.
TRUTH CHECK:       The paper uses LFQ for the global proteome and acetylome, and TMT for the phosphoproteome.
COMPLETENESS CHECK:    The full set of extracted values correctly identifies both labeling strategies used in the study.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
