source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000651-Sample-1	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	not available	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-2	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A10.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-3	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A11.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-4	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-5	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A14.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-6	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A15ny.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-7	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A16ny.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-8	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A17conc.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-9	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A18ny.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-10	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A19.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-11	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-12	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	not available	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A20.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-13	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A21.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-14	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	not available	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A22.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-15	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-16	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A25.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000651-Sample-17	Homo sapiens	cerebrospinal fluid, plasma	normal	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	not available	fluid type (CSF, plasma), fractionation strategy (SDS-PAGE, MM RP-AX, glycopeptide capture)	not available	10 ppm	0.7 Da	orbitrap	HV_map_A26.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
