source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD007073-Sample-1	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150902VS04.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-2	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS40.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-3	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS02.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-4	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS39.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-5	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150918VS36.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-6	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150918VS44.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-7	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150924VS08.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-8	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160423VS25.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-9	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160423VS23.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-10	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160423VS22.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-11	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150823VS49.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-12	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150902VS09.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
