field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[cell line]	Biological	82	0	0	0.0	0.0	0.0
characteristics[cell type]	Biological	82	82	82	1.0	1.0	1.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	41	41	41	1.0	1.0	1.0
characteristics[organism part]	Biological	0	0	0			
characteristics[organism]	Biological	41	41	41	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	41	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	41	41	41	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	0	0	0			
factor value[disease]	ExperimentalDesign	0	0	0			
factor value[experimental design]	ExperimentalDesign	0	0	0			
comment[cleavage agent details]	Technical	82	82	82	1.0	1.0	1.0
comment[dissociation method]	Technical	0	0	0			
comment[instrument]	Technical	41	41	41	1.0	1.0	1.0
comment[label]	Technical	121	121	121	1.0	1.0	1.0
comment[ms2 mass analyzer]	Technical	0	0	0			
comment[precursor mass tolerance]	Technical	0	0	0			
comment[proteomics data acquisition method]	Technical	0	0	0			
technology type	Technical	0	0	0			
