pxd	data_file	category	field	assessed_value	gold_value	normalized_assessed_value	normalized_gold_value	status	match_method	similarity
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	Biological	characteristics[cell line]	DOV13	DOV13	dov13	dov13	matched	exact_normalized	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	Biological	characteristics[organism]	Homo sapiens	Homo sapiens	homo sapiens	homo sapiens	matched	exact_normalized	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	Technical	comment[cleavage agent details]	NT=Lys-C;AC=MS:1001309	NT=Lys-C;AC=MS:1001309	cv:ms:1001309	cv:ms:1001309	matched	cv_accession	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	Technical	comment[cleavage agent details]	AC=MS:1001251;NT=Trypsin	AC=MS:1001251;NT=Trypsin	cv:ms:1001251	cv:ms:1001251	matched	cv_accession	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	Technical	comment[instrument]	NT=Q Exactive;AC=MS:1001911	NT=Q Exactive;AC=MS:1001911	cv:ms:1001911	cv:ms:1001911	matched	cv_accession	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	Technical	comment[label]	AC=MS:1002038;NT=label free sample	AC=MS:1002038;NT=label free sample	cv:ms:1002038	cv:ms:1002038	matched	cv_accession	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_A.RAW	ExperimentalDesign	characteristics[biological replicate]	1	1	1	1	matched	exact_normalized	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	Biological	characteristics[cell line]	DOV13	DOV13	dov13	dov13	matched	exact_normalized	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	Biological	characteristics[organism]	Homo sapiens	Homo sapiens	homo sapiens	homo sapiens	matched	exact_normalized	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	Technical	comment[cleavage agent details]	NT=Lys-C;AC=MS:1001309	NT=Lys-C;AC=MS:1001309	cv:ms:1001309	cv:ms:1001309	matched	cv_accession	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	Technical	comment[cleavage agent details]	AC=MS:1001251;NT=Trypsin	AC=MS:1001251;NT=Trypsin	cv:ms:1001251	cv:ms:1001251	matched	cv_accession	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	Technical	comment[instrument]	NT=Q Exactive;AC=MS:1001911	NT=Q Exactive;AC=MS:1001911	cv:ms:1001911	cv:ms:1001911	matched	cv_accession	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	Technical	comment[label]	AC=MS:1002038;NT=label free sample	AC=MS:1002038;NT=label free sample	cv:ms:1002038	cv:ms:1002038	matched	cv_accession	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_B.RAW	ExperimentalDesign	characteristics[biological replicate]	2	2	2	2	matched	exact_normalized	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	Biological	characteristics[cell line]	DOV13	DOV13	dov13	dov13	matched	exact_normalized	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	Biological	characteristics[organism]	Homo sapiens	Homo sapiens	homo sapiens	homo sapiens	matched	exact_normalized	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	Technical	comment[cleavage agent details]	NT=Lys-C;AC=MS:1001309	NT=Lys-C;AC=MS:1001309	cv:ms:1001309	cv:ms:1001309	matched	cv_accession	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	Technical	comment[cleavage agent details]	AC=MS:1001251;NT=Trypsin	AC=MS:1001251;NT=Trypsin	cv:ms:1001251	cv:ms:1001251	matched	cv_accession	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	Technical	comment[instrument]	NT=Q Exactive;AC=MS:1001911	NT=Q Exactive;AC=MS:1001911	cv:ms:1001911	cv:ms:1001911	matched	cv_accession	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	Technical	comment[label]	AC=MS:1002038;NT=label free sample	AC=MS:1002038;NT=label free sample	cv:ms:1002038	cv:ms:1002038	matched	cv_accession	1.000000
PXD003668	20130312_EXQ4_FaCo_SA_CL_DOV13_C.RAW	ExperimentalDesign	characteristics[biological replicate]	3	3	3	3	matched	exact_normalized	1.000000
