accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,spectral_file_types,existing_PRIDE_SDRF,HAMLETstore,HAMLETmeti,HAMLETmeta,HAMLETjudge
PXD003209,27068479.0,PMC4828635,3,Homo sapiens (human),9606,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,True
PXD011153,30728824.0,PMC6352917,6,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD004613,28091603.0,PMC5241828,8,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD004987,27841354.0,PMC5107900,9,Homo sapiens (human),9606,Shotgun proteomics,CC BY,GZ;MGF;RAW,True,False,True,True,True
PXD020187,32785189.0,PMC7460081,10,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD009157,30794532.0,PMC6402698,11,Plasmodium falciparum mad71/papua new guinea; Homo sapiens (human),70154; 9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD014145,32095117.0,PMC7027090,12,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD005780,28709472.0,PMC5513205,15,Human gut metagenome,408170,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD012986,31699904.0,PMC6944235,15,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,GZ;MZML;RAW,False,False,True,True,True
PXD011050,32561711.0,PMC7305310,16,Haloferax volcanii (halobacterium volcanii),2246,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD013753,31862015.0,PMC6925519,20,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD018594,32619390.0,PMC7473198,20,Chlorocebus aethiops aethiops; Betacoronavirus sp.,101841; 1928434,Shotgun proteomics,CC BY,GZ;MGF;RAW,True,False,True,True,True
PXD002029,26937473.0,PMC4753390,24,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD001819,26862574.0,PMC4706616,27,Saccharomyces cerevisiae (baker's yeast); Homo sapiens (human),4932; 9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD011175,30532160.0,PMC6287822,28,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD006401,29527141.0,PMC5838928,28,Homo sapiens (human); Mus musculus (mouse),9606; 10090,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD015957,32060274.0,PMC7021791,30,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD012755,31511657.0,PMC6739414,32,Homo sapiens (human),9606,Shotgun proteomics,CC BY,GZ;MGF;RAW,True,False,True,True,True
PXD007555,30496192.0,PMC6264484,36,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD002266,26149123.0,PMC4507021,36,Plasmodium falciparum,5833,Shotgun proteomics,CC BY,GZ;MGF;RAW,False,False,True,True,True
PXD014557,31699905.0,PMC6944231,40,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD009815,32096818.0,PMC7214047,40,Saccharomyces cerevisiae (baker's yeast),4932,Shotgun proteomics,CC BY-NC,GZ;RAW,True,False,True,True,True
PXD012255,30624053.0,PMC6506858,40,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,RAW,True,False,True,True,True
PXD022741,33630598.0,PMC8210948,42,Saccharomyces cerevisiae (baker's yeast),4932,Shotgun proteomics,author_manuscript,MZXML;RAW,False,False,True,True,True
PXD041681,37681923.0,PMC10486756,43,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD011799,31519915.0,PMC6744450,48,Homo sapiens (human),9606,Shotgun proteomics,CC BY,MGF;MZML;RAW,True,False,True,True,True
PXD014528,32238817.0,PMC7113317,48,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD013234,31064135.0,PMC6631625,54,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD012203,30691479.0,PMC6350377,60,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD021874,34138841.0,PMC8241124,62,Haloferax volcanii (halobacterium volcanii),2246,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD003028,27102203.0,PMC4841045,89,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD017035,31816881.0,PMC6956075,90,Lactobacillus plantarum; Anaerostipes caccae dsm 14662; Clostridium butyricum dsm 10702; Erysipelatoclostridium ramosum dsm 1402; Blautia producta atcc 27340 = dsm 2950; Bacteroides thetaiotaomicron; Escherichia coli str. k-12 substr. mg1655; Bifidobacterium longum ncc2705,1590; 411490; 1316931; 445974; 1121114; 818; 511145; 206672,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD013737,31185456.0,PMC6556878,96,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD015744,32860207.0,PMC7716908,100,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD003668,27561551.0,PMC5007461,101,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD009630,30914758.0,PMC6435712,111,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD013923,31350469.0,PMC6659682,124,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD005207,28680058.0,PMC5498596,130,Plasmodium falciparum,5833,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD010357,31395880.0,PMC6687710,136,Homo sapiens (human),9606,Shotgun proteomics,CC BY,DTA;GZ;MGF;RAW,False,False,True,True,True
PXD005554,28675934.0,PMC8078728,142,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,GZ;MGF;RAW,False,False,True,True,True
PXD013765,31892524.0,PMC7050108,144,Homo sapiens (human),9606,Shotgun proteomics,CC BY,MZML;RAW,True,False,True,True,True
PXD002081,25043054.0,PMC4249766,150,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,GZ;RAW,True,False,True,True,True
PXD002082,25043054.0,PMC4249766,150,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,GZ;RAW,True,False,True,True,True
PXD002087,25043054.0,PMC4249766,150,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,GZ;RAW,True,False,True,True,True
PXD002088,25043054.0,PMC4249766,150,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,GZ;RAW,True,False,True,True,True
PXD002084,25043054.0,PMC4249766,150,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,GZ;RAW,True,False,True,True,True
PXD002049,26110064.0,PMC4477697,150,Homo sapiens (human),9606,Shotgun proteomics,CC BY,GZ;RAW,True,False,True,True,True
PXD002080,25043054.0,PMC4249766,150,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,GZ;RAW,True,False,True,True,True
PXD002086,25043054.0,PMC4249766,153,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,GZ;RAW,True,False,True,True,True
PXD036832,37330510.0,PMC10276868,160,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD016002,31924735.0,PMC7196498,168,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,DTA;GZ;MGF;RAW,True,False,True,True,True
PXD004682,28195392.0,PMC5606153,192,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,GZ;MGF;RAW,True,False,True,True,True
PXD005355,29101300.0,PMC5731344,195,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD002395,22278370.0,PMC3316730,198,Homo sapiens (human),9606,Shotgun proteomics,CC BY-NC,RAW,True,False,True,True,True
PXD013523,31484429.0,PMC6770591,198,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD007160,29533394.0,PMC5848788,211,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD008722,32291283.0,PMC7338087,252,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD002619,26725330.0,PMC4725767,261,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD010603,30735395.0,PMC6480317,312,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,RAW,True,False,True,True,True
PXD012131,30735395.0,PMC6480317,340,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,RAW,False,False,True,True,True
PXD019394,21183079.0,PMC3035969,347,Mus musculus (mouse),10090,Shotgun proteomics,author_manuscript,RAW,True,False,True,True,True
PXD017201,32457125.0,PMC7253007,360,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD006233,28865468.0,PMC5581431,378,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD011967,30971946.0,PMC6443906,386,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,False,False,True,True,True
PXD006675,29133944.0,PMC5684139,610,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD010429,31395880.0,PMC6687710,696,Homo sapiens (human),9606,Shotgun proteomics,CC BY,DTA;GZ;MGF;RAW,False,False,True,True,True
PXD006003,31495571.0,PMC7993352,842,Homo sapiens (human),9606,Shotgun proteomics,author_manuscript,RAW,True,False,True,True,True
PXD008840,29520031.0,PMC5843664,1016,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD004242,28007936.0,PMC5199119,1290,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD002870,26977904.0,PMC4792174,1477,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD005354,29101300.0,PMC5731344,1560,Homo sapiens (human),9606,Shotgun proteomics,CC BY,RAW,True,False,True,True,True
PXD005463,28819139.0,PMC5561175,3,Saccharomyces cerevisiae (baker's yeast),4932,Shotgun proteomics,CC BY,RAW,True,True,True,True,True
PXD002691,26739245.0,PMC4703981,1,Entamoeba histolytica hm-1:imss-a,885318,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
PXD001340,25372051.0,PMC4579097,1,Rattus norvegicus (rat),10116,Shotgun proteomics,author_manuscript,GZ;MGF;RAW,False,False,True,True,False
PXD014735,31597577.0,PMC6784334,1,Acanthamoeba castellanii,5755,Shotgun proteomics,CC BY,RAW,False,False,True,True,False
