source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[cell part]	characteristics[developmental stage]	characteristics[disease]	characteristics[sampling time]	characteristics[phenotype]	characteristics[enrichment process]	assay name	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[phenotype]	factor value[sampling time]	sampleChecksum	sampleAccession
PXD002870-AJ_CTRL_Heart_Cyto_d00	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	enrichment of phosphorylated Protein	run 1	AJ_CTRL_Heart_Cyto_d00_A01.raw	1	1	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_CTRL_Heart_Cyto_d00_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0	90a71ea316f71a6309031b7bc270cfc8ce1de647f05a8dc50db73a6bbeb96074	SAMEA7712403
PXD002870-AJ_ISO_Heart_Cyto_d01	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	1	hypertrophy groups	enrichment of phosphorylated Protein	run 1	AJ_ISO_Heart_Cyto_d01_A01.raw	1	1	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_ISO_Heart_Cyto_d01_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	1	f13afb1b72e08f54b194f579736e0bf1ee4ad3c9a25b6a27bd54e69c4a65aefa	SAMEA7712404
PXD002870-BALB_CTRL_Heart_Cyto_d00	Mus musculus	BALB/cJ	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	enrichment of phosphorylated Protein	run 1	BALB_CTRL_Heart_Cyto_d00_A01.raw	1	1	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d00_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0	2e4cf800e6afd68304d8d45dc32b2bd1f89e88a06c5cbfdfac20363eca716bec	SAMEA7712405
PXD002870-AJ_CTRL_Heart_Cyto_d00	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	enrichment of phosphorylated Protein	run 2	AJ_CTRL_Heart_Cyto_d00_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_CTRL_Heart_Cyto_d00_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0	90a71ea316f71a6309031b7bc270cfc8ce1de647f05a8dc50db73a6bbeb96074	SAMEA7712403
PXD002870-AJ_ISO_Heart_Cyto_d01	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	1	hypertrophy groups	enrichment of phosphorylated Protein	run 2	AJ_ISO_Heart_Cyto_d01_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_ISO_Heart_Cyto_d01_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	1	f13afb1b72e08f54b194f579736e0bf1ee4ad3c9a25b6a27bd54e69c4a65aefa	SAMEA7712404
PXD002870-BALB_CTRL_Heart_Cyto_d00	Mus musculus	BALB/cJ	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	enrichment of phosphorylated Protein	run 2	BALB_CTRL_Heart_Cyto_d00_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d00_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0	2e4cf800e6afd68304d8d45dc32b2bd1f89e88a06c5cbfdfac20363eca716bec	SAMEA7712405
PXD002870-AJ_CTRL_Heart_Cyto_d00	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	enrichment of phosphorylated Protein	run 3	AJ_CTRL_Heart_Cyto_d00_A03.raw	1	3	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_CTRL_Heart_Cyto_d00_A03.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0	90a71ea316f71a6309031b7bc270cfc8ce1de647f05a8dc50db73a6bbeb96074	SAMEA7712403
PXD002870-AJ_ISO_Heart_Cyto_d01	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	1	hypertrophy groups	enrichment of phosphorylated Protein	run 3	AJ_ISO_Heart_Cyto_d01_A03.raw	1	3	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_ISO_Heart_Cyto_d01_A03.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	1	f13afb1b72e08f54b194f579736e0bf1ee4ad3c9a25b6a27bd54e69c4a65aefa	SAMEA7712404
PXD002870-BALB_CTRL_Heart_Cyto_d00	Mus musculus	BALB/cJ	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	enrichment of phosphorylated Protein	run 3	BALB_CTRL_Heart_Cyto_d00_A03.raw	1	3	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d00_A03.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0	2e4cf800e6afd68304d8d45dc32b2bd1f89e88a06c5cbfdfac20363eca716bec	SAMEA7712405
PXD002870-AJ_CTRL_Heart_Cyto_d00	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	enrichment of phosphorylated Protein	run 4	AJ_CTRL_Heart_Cyto_d00_A04.raw	1	4	NT=metabolic label;AC=PRIDE:0000597	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_CTRL_Heart_Cyto_d00_A04.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0	90a71ea316f71a6309031b7bc270cfc8ce1de647f05a8dc50db73a6bbeb96074	SAMEA7712403
