pxd,group,value
PXD001856,Master Llama,15
PXD002619,Master Llama,14
PXD005982,Master Llama,10
PXD006847,Master Llama,11
PXD012439,Master Llama,12
PXD013543,Master Llama,30
PXD013809,Master Llama,16
PXD014762,Master Llama,20
PXD015272,Master Llama,1
PXD015289,Master Llama,1
PXD018830,Master Llama,33
PXD019394,Master Llama,26
PXD021383,Master Llama,1
PXD022741,Master Llama,0
PXD026287,Master Llama,15
PXD028781,Master Llama,0
PXD029966,Master Llama,0
PXD029997,Master Llama,12
PXD030403,Master Llama,0
PXD031991,Master Llama,0
PXD032098,Master Llama,0
PXD034195,Master Llama,0
PXD036655,Master Llama,20
PXD036832,Master Llama,17
PXD040176,Master Llama,0
PXD040722,Master Llama,18
PXD041681,Master Llama,15
PXD042574,Master Llama,20
PXD043392,Master Llama,0
PXD060381,Master Llama,29
PXD001856,Master GPT,98
PXD002619,Master GPT,76
PXD005982,Master GPT,89
PXD006847,Master GPT,161
PXD012439,Master GPT,85
PXD013543,Master GPT,91
PXD013809,Master GPT,270
PXD014762,Master GPT,158
PXD015272,Master GPT,121
PXD015289,Master GPT,156
PXD018830,Master GPT,175
PXD019394,Master GPT,29
PXD021383,Master GPT,51
PXD022741,Master GPT,106
PXD026287,Master GPT,158
PXD028781,Master GPT,179
PXD029966,Master GPT,215
PXD029997,Master GPT,208
PXD030403,Master GPT,91
PXD031991,Master GPT,197
PXD032098,Master GPT,175
PXD034195,Master GPT,138
PXD036655,Master GPT,181
PXD036832,Master GPT,205
PXD040176,Master GPT,185
PXD040722,Master GPT,179
PXD041681,Master GPT,138
PXD042574,Master GPT,83
PXD043392,Master GPT,288
PXD060381,Master GPT,153
PXD001856,Agents Llama,41
PXD002619,Agents Llama,41
PXD005982,Agents Llama,41
PXD006847,Agents Llama,41
PXD012439,Agents Llama,41
PXD013543,Agents Llama,41
PXD013809,Agents Llama,41
PXD014762,Agents Llama,41
PXD015272,Agents Llama,41
PXD015289,Agents Llama,41
PXD018830,Agents Llama,41
PXD019394,Agents Llama,41
PXD021383,Agents Llama,41
PXD022741,Agents Llama,41
PXD026287,Agents Llama,41
PXD028781,Agents Llama,41
PXD029966,Agents Llama,41
PXD029997,Agents Llama,41
PXD030403,Agents Llama,41
PXD031991,Agents Llama,41
PXD032098,Agents Llama,41
PXD034195,Agents Llama,41
PXD036655,Agents Llama,41
PXD036832,Agents Llama,41
PXD040176,Agents Llama,41
PXD040722,Agents Llama,41
PXD041681,Agents Llama,41
PXD042574,Agents Llama,41
PXD043392,Agents Llama,41
PXD060381,Agents Llama,41
PXD001856,Agents GPT,41
PXD002619,Agents GPT,41
PXD005982,Agents GPT,41
PXD006847,Agents GPT,41
PXD012439,Agents GPT,41
PXD013543,Agents GPT,41
PXD013809,Agents GPT,41
PXD014762,Agents GPT,41
PXD015272,Agents GPT,41
PXD015289,Agents GPT,41
PXD018830,Agents GPT,41
PXD019394,Agents GPT,41
PXD021383,Agents GPT,41
PXD022741,Agents GPT,41
PXD026287,Agents GPT,41
PXD028781,Agents GPT,41
PXD029966,Agents GPT,41
PXD029997,Agents GPT,41
PXD030403,Agents GPT,41
PXD031991,Agents GPT,41
PXD032098,Agents GPT,41
PXD034195,Agents GPT,41
PXD036655,Agents GPT,41
PXD036832,Agents GPT,41
PXD040176,Agents GPT,41
PXD040722,Agents GPT,41
PXD041681,Agents GPT,41
PXD042574,Agents GPT,41
PXD043392,Agents GPT,41
PXD060381,Agents GPT,41
