group,condition,metric,value
Biological,before,precision,0.3673
Biological,before,recall,0.3333
Biological,before,f1,0.3495
Biological,after,precision,0.9898
Biological,after,recall,0.8981
Biological,after,f1,0.9417
Technical,before,precision,0.4571
Technical,before,recall,0.3902
Technical,before,f1,0.4211
Technical,after,precision,1.0
Technical,after,recall,0.8537
Technical,after,f1,0.9211
Exp. Design,before,precision,0.5217
Exp. Design,before,recall,0.48
Exp. Design,before,f1,0.5
Exp. Design,after,precision,1.0
Exp. Design,after,recall,0.92
Exp. Design,after,f1,0.9583
Overall,before,precision,0.4487
Overall,before,recall,0.4012
Overall,before,f1,0.4235
Overall,after,precision,0.9966
Overall,after,recall,0.8906
Overall,after,f1,0.9404
