"paper_id","agent","annotation_type","extracted_value","all_values_for_field","verdict","type_mismatch","correct_type","value_correct","value_complete","hallucination","issue_summary","corrected_value"
"PXD031991","BiologicalAgent","species","Capsaspora owczarzaki","Capsaspora owczarzaki","medium","False","","True","False","False","TYPE CHECK:        The candidate value is a scientific name of an organism, which matches the species field definition.
SOURCE CHECK:      The value ""Capsaspora owczarzaki"" is explicitly mentioned in the ""Eukaryotic cell culture and tissue sources"" section of the Methods.
TRUTH CHECK:       The value is factually correct as it is one of the species used for histone extraction and mass spectrometry analysis.
COMPLETENESS CHECK: The full set of extracted values is incomplete; the paper describes proteomics analysis for 19 eukaryotic species (including others like Homo sapiens, Sycon ciliatum, etc.) and 4 archaeal species (Methanobrevibacter cuticularis, etc.).
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           medium
CORRECTED_VALUE:   [""Capsaspora owczarzaki"", ""Homo sapiens"", ""Sycon ciliatum"", ""Phytophthora infestans"", ""Corallochytrium limacisporum"", ""Creolimax fragrantissima"", ""Spizellomyces punctatus"", ""Thecamonas trahens"", ""Chlamydomonas reinhardtii"", ""Guillardia theta"", ""Emiliania huxleyi"", ""Thalassiosira pseudonana"", ""Bigelowiella natans"", ""Naegleria gruberi"", ""Gefionella okellyi"", ""Fabomonas tropica"", ""Methanobrevibacter cuticularis"", ""Methanospirillum stamsii"", ""Methanosarcina spelaei"", ""Nitrososphaera viennensis""]",""
"PXD031991","BiologicalAgent","cell_type","filopodial cells","filopodial cells","medium","False","","True","False","False","TYPE CHECK:        The candidate value ""filopodial cells"" describes a specific cell type/lineage.
SOURCE CHECK:      The text explicitly mentions ""Capsaspora owczarzaki strain ATCC30864 filopodial cells"" in the Methods section.
TRUTH CHECK:       The value is factually correct as per the provided text.
COMPLETENESS CHECK: The full set contains the only specific cell type mentioned for the cultured species in the methods.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE","filopodial cells, ES cells"
"PXD031991","BiologicalAgent","strain","ATCC30864","ATCC30864","medium","False","","True","False","False","TYPE CHECK:        The candidate value is a strain identifier, which matches the category for the strain field.
SOURCE CHECK:      The value ""ATCC30864"" is explicitly mentioned in the methods section under ""Eukaryotic cell culture and tissue sources"" for *Capsaspora owczarzaki*.
TRUTH CHECK:       The value is factually correct as it identifies the specific strain of *Capsaspora owczarzaki* used in the experiment.
COMPLETENESS CHECK: The full set of extracted values only contains this one strain, but the paper mentions several other strains (e.g., ""India"" for *Corallochytrium limacisporum*, ""CH2"" for *Creolimax fragrantissima*, ""DAOM BR117"" for *Spizellomyces punctatus*, ""CC-503 cw92 mt+"" for *Chlamydomonas reinhardtii*, ""CCMP2712"" for *Guillardia theta*, ""CCMP1516"" for *Emiliania huxleyi*, ""CCMP1335"" for *Thalassiosira pseudonana*, ""CCMP2755"" for *Bigelowiella natans*, ""ATCC30224"" for *Naegleria gruberi*, ""249"" for *Gefionella okellyi*, ""NYK3C"" for *Fabomonas tropica*, ""Gransden 2004"" for *Physcomitrella patens*, and ""T30-4"" for *Phytophthora infestans*).
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           medium
CORRECTED_VALUE:   [""ATCC30864"", ""India"", ""CH2"", ""DAOM BR117"", ""CC-503 cw92 mt+"", ""CCMP2712"", ""CCMP1516"", ""CCMP1335"", ""CCMP2755"", ""ATCC30224"", ""249"", ""NYK3C"", ""Gransden 2004"", ""T30-4""]","ATCC30864, India, CH2, DAOM BR117, ATCC50062, CC-503 cw92 mt+, CCMP2712, CCMP1516, CCMP1335, CCMP2755, ATCC30224, 249, NYK3C, Gransden 2004, T30-4, DSM 11139, DSM 26304, DSM 26047, EN76"
"PXD031991","TechnicalAgent","instrument","LTQ-Orbitrap Fusion Lumos","LTQ-Orbitrap Fusion Lumos","high","False","","True","True","False","TYPE CHECK:        The candidate value is a mass spectrometer model, which matches the required category.
SOURCE CHECK:      The text explicitly mentions the use of a ""LTQ-Orbitrap Fusion Lumos mass spec-trometer"".
TRUTH CHECK:       The value is factually correct as stated in the ""Liquid Chromatography-Tandem Mass Spectrometry Sample Acquisition"" section.
COMPLETENESS CHECK: The full set contains the only mass spectrometer mentioned in the paper.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD031991","TechnicalAgent","label","label-free","label-free","high","False","","True","True","False","TYPE CHECK:        The candidate value ""label-free"" is a valid category for the label field.
SOURCE CHECK:      The paper does not mention any isobaric or metabolic labeling (such as TMT or SILAC); therefore, ""label-free"" is a safe default.
TRUTH CHECK:       The experimental description is consistent with a label-free approach.
COMPLETENESS CHECK: The full set of extracted values is exhaustive as no other labeling methods were used.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
"PXD031991","ExperimentalDesignAgent","replicates","distinct species","","low","True","","False","False","False","TYPE CHECK:        No, the candidate value ""distinct species"" is a description of the sample group, not a numeric count of biological replicates.
SOURCE CHECK:      The phrase ""distinct species"" is not used as a replicate count in the text; the text mentions ""replicate samples"" but does not provide a specific number for most, though it mentions 26 species total for the hPTM analysis.
TRUTH CHECK:       The value is factually incorrect as a measure of replicates.
COMPLETENESS CHECK: The full set of extracted values is incorrect; ""distinct species"" is a type mismatch and ""30"" is not supported by the text (the paper mentions 19 + 7 = 26 species for the proteomics survey).
TYPE_CORRECT:      no
CORRECT_TYPE_NAME: replicates
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           low
CORRECTED_VALUE:   NONE",""
"PXD031991","ExperimentalDesignAgent","replicates","30","","low","False","","False","False","True","TYPE CHECK:        The candidate value ""30"" is a numeric count, which is the correct category for the 'replicates' field.
SOURCE CHECK:      The value ""30"" is not present in the text; the paper mentions 19 species extracted by the authors plus 7 from previous data (totaling 26), and 4 archaeal species, but does not state ""30"" as a number of biological replicates.
TRUTH CHECK:       The value is factually incorrect; the paper discusses the number of species analyzed, not the number of biological replicates per sample.
COMPLETENESS CHECK: The full set of extracted values (""distinct species"", ""30"") is incorrect and does not describe the biological replicates of the experiment.

TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      yes
VERDICT:           low
CORRECTED_VALUE:   NONE",""
"PXD031991","ExperimentalDesignAgent","technical_replicates","replicate samples","","low","True","","False","False","False","TYPE CHECK:        The candidate value ""replicate samples"" is a descriptive phrase, not a numeric count as required by the field definition.
SOURCE CHECK:      The text mentions ""reproducibility of hPTM detection across replicate samples,"" but does not provide a specific number of technical replicates.
TRUTH CHECK:       The value is not a count and therefore does not correctly answer the question of how many technical replicates were performed.
COMPLETENESS CHECK: The full set contains only a non-numeric phrase and fails to provide the required numeric value.
TYPE_CORRECT:      no
CORRECT_TYPE_NAME: technical_replicates
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           low
CORRECTED_VALUE:   NONE",""
"PXD031991","ExperimentalDesignAgent","experimental_design","comparative proteomics across eukaryotic and archaeal species","","low","True","","False","False","False","TYPE CHECK:        The candidate value describes the overall approach/goal of the study rather than a specific experimental design type (like ""case-control"" or ""time course"").
SOURCE CHECK:      The phrase is a reasonable summary of the abstract (""we combine comparative proteomics and genomics analysis of chromatin in eukaryotes and archaea"").
TRUTH CHECK:       While the study is comparative, ""comparative proteomics"" is a methodology/approach, not a study design type as defined by the field examples.
COMPLETENESS CHECK: The full set contains only this value, which is a description of the study's scope rather than its design.
TYPE_CORRECT:      no
CORRECT_TYPE_NAME: experimental_design
VALUE_CORRECT:     no
VALUE_COMPLETE:    no
HALLUCINATED:      no
VERDICT:           low
CORRECTED_VALUE:   NONE",""
"PXD031991","ExperimentalDesignAgent","factor_value","phylogenetic group (Eukaryota, Archaea)","phylogenetic group (Eukaryota, Archaea)","high","False","","True","True","False","TYPE CHECK:        The candidate value describes the experimental variable (phylogenetic group) being compared, which fits the definition of a factor_value.
SOURCE CHECK:      The paper explicitly compares chromatin and histone modifications across eukaryotes and archaea (e.g., ""combine comparative proteomics and genomics analysis of chromatin in eukaryotes and archaea"").
TRUTH CHECK:       The study is designed as a comparative analysis across these two major phylogenetic domains to reconstruct evolutionary history.
COMPLETENESS CHECK: The full set captures the primary experimental variable of the study.
TYPE_CORRECT:      yes
CORRECT_TYPE_NAME: NONE
VALUE_CORRECT:     yes
VALUE_COMPLETE:    yes
HALLUCINATED:      no
VERDICT:           high
CORRECTED_VALUE:   NONE",""
