"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD060381","human_annotation","inference","Biological","cell_line","cell_line","ASC52telo","True"
"PXD060381","human_annotation","inference","Biological","cell_type","cell_type","mesenchymal stem cells","True"
"PXD060381","human_annotation","inference","Biological","disease","disease","degenerative disc disease | IL-1β pre-stimulation","True"
"PXD060381","human_annotation","inference","Biological","species","species","9606 (Homo sapiens)","True"
"PXD060381","human_annotation","inference","ExperimentalDesign","replicates","replicates","3","True"
"PXD060381","human_annotation","inference","Other","collision_energy","collision_energy","25%","True"
"PXD060381","human_annotation","inference","Other","material_type","material_type","cell line | extracellular vesicles | MSC-derived extracellular vesicles","True"
"PXD060381","human_annotation","inference","Other","number_of_samples","number_of_samples","9","True"
"PXD060381","human_annotation","inference","Technical","acquisition_method","acquisition_method","DIA","True"
"PXD060381","human_annotation","inference","Technical","cleavage_agent","cleavage_agent","trypsin","True"
"PXD060381","human_annotation","inference","Technical","fragmentation","fragmentation","HCD","True"
"PXD060381","human_annotation","inference","Technical","instrument","instrument","Orbitrap Astral mass spectrometer","True"
