source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013234-Sample-1	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG193.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-2	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG194.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-3	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG198.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-4	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG207.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-5	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG209.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-6	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG214.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-7	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG218.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-8	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG219.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-9	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG220.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-10	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_CT_GG222.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-11	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_L_GG193.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-12	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_L_GG195.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-13	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_L_GG198.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-14	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_L_GG205.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
PXD013234-Sample-15	Homo sapiens	serum	polycythemia vera, healthy	extracellular vesicles	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Chymotrypsin;AC=MS:1001306	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (polycythemia vera, healthy controls)	not available	7 ppm	8 ppm	orbitrap	20180411_QX8_JRW_SA_L_GG207.raw	v1.1.0	HAMLET-agentic v2.1.0	polycythemia vera, healthy
