field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	6	0	0	0.0	0.0	0.0
characteristics[cell type]	Biological	6	0	0	0.0	0.0	0.0
characteristics[disease]	Biological	6	0	0	0.0	0.0	0.0
characteristics[organism part]	Biological	6	6	0	0.0	0.0	0.0
characteristics[organism]	Biological	6	6	6	1.0	1.0	1.0
characteristics[sex]	Biological	6	0	0	0.0	0.0	0.0
characteristics[biological replicate]	ExperimentalDesign	6	11	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	6	6	6	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	6	10	5	0.8333333333333334	0.5555555	0.6388889999999999
factor value[disease]	ExperimentalDesign	6	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	6	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	0	6	0	0.0	0.0	0.0
comment[dissociation method]	Technical	6	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	6	0	0	0.0	0.0	0.0
comment[instrument]	Technical	6	6	0	0.0	0.0	0.0
comment[label]	Technical	6	6	6	1.0	1.0	1.0
comment[modification parameters]	Technical	6	0	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	6	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	6	0	0	0.0	0.0	0.0
technology type	Technical	6	0	0	0.0	0.0	0.0
