field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[cell line]	Biological	261	0	0	0.0	0.0	0.0
characteristics[cell type]	Biological	261	0	0	0.0	0.0	0.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	261	261	261	1.0	1.0	1.0
characteristics[organism part]	Biological	261	261	0	0.0	0.0	0.0
characteristics[organism]	Biological	261	261	261	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	261	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	261	261	44	0.1685823754789272	0.1685823754789272	0.1685823754789272
comment[technical replicate]	ExperimentalDesign	261	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	261	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	261	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	261	261	261	1.0	1.0	1.0
comment[dissociation method]	Technical	261	261	261	1.0	1.0	1.0
comment[fragment mass tolerance]	Technical	261	261	261	1.0	1.0	1.0
comment[instrument]	Technical	261	261	261	1.0	1.0	1.0
comment[label]	Technical	0	261	0	0.0	0.0	0.0
comment[modification parameters]	Technical	522	783	522	1.0	0.666667	0.8
comment[ms2 mass analyzer]	Technical	261	261	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	261	261	261	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	23	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	261	0	0	0.0	0.0	0.0
technology type	Technical	261	0	0	0.0	0.0	0.0
