field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[disease]	Biological	24	24	0	0.0	0.0	0.0
characteristics[organism part]	Biological	24	24	24	1.0	1.0	1.0
characteristics[organism]	Biological	24	24	24	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	24	24	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	24	24	6	0.25	0.25	0.25
comment[technical replicate]	ExperimentalDesign	24	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	24	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	24	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	24	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	24	24	24	1.0	1.0	1.0
comment[dissociation method]	Technical	24	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	24	0	0	0.0	0.0	0.0
comment[instrument]	Technical	24	24	24	1.0	1.0	1.0
comment[label]	Technical	24	24	24	1.0	1.0	1.0
comment[modification parameters]	Technical	72	120	72	1.0	0.6	0.75
comment[ms2 mass analyzer]	Technical	24	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	24	0	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	24	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	24	0	0	0.0	0.0	0.0
technology type	Technical	24	0	0	0.0	0.0	0.0
