paper_id,total_extracted,judge_n_correct,judge_n_hallucinated,judge_n_mismatch,judge_n_wrong,judge_n_incomplete,judge_n_corrected,judge_n_technical_not_in_text,judge_n_inferred,judge_accuracy,judge_accuracy_adjusted,judge_accuracy_with_inference,source,mode
PXD001856,27,22,0,3,2,0,2,0,0,0.8148,0.8148,0.8148,human_annotation,strict
PXD001856,27,21,0,3,1,0,2,0,2,0.7778,0.7778,0.8519,human_annotation,inference
PXD001856,26,25,0,0,0,1,1,0,0,0.9615,0.9615,0.9615,hamlet_raw,strict
PXD001856,26,20,0,0,0,1,1,0,5,0.7692,0.7692,0.9615,hamlet_raw,inference
PXD001856,27,24,0,1,0,1,3,1,0,0.8889,0.9259,0.8889,hamlet_harmonized,strict
PXD001856,27,18,0,1,0,0,3,1,7,0.6667,0.7037,0.9259,hamlet_harmonized,inference
PXD002619,19,10,5,2,0,2,9,0,0,0.5263,0.5263,0.5263,human_annotation,strict
PXD002619,19,11,3,2,2,0,9,0,1,0.5789,0.5789,0.6316,human_annotation,inference
PXD002619,23,21,0,0,1,1,2,0,0,0.913,0.913,0.913,hamlet_raw,strict
PXD002619,23,21,0,0,1,0,2,0,1,0.913,0.913,0.9565,hamlet_raw,inference
PXD002619,24,18,0,3,1,1,4,1,0,0.75,0.7917,0.75,hamlet_harmonized,strict
PXD002619,24,18,0,2,1,0,5,2,1,0.75,0.8333,0.7917,hamlet_harmonized,inference
PXD005982,27,22,2,3,0,0,3,0,0,0.8148,0.8148,0.8148,human_annotation,strict
PXD005982,27,18,1,3,0,0,2,0,5,0.6667,0.6667,0.8519,human_annotation,inference
PXD005982,20,18,0,1,1,0,2,0,0,0.9,0.9,0.9,hamlet_raw,strict
PXD005982,20,14,0,1,1,0,2,0,4,0.7,0.7,0.9,hamlet_raw,inference
PXD005982,20,18,0,1,1,0,2,0,0,0.9,0.9,0.9,hamlet_harmonized,strict
PXD005982,20,14,0,1,1,0,2,0,4,0.7,0.7,0.9,hamlet_harmonized,inference
PXD006847,25,19,1,4,1,0,3,0,0,0.76,0.76,0.76,human_annotation,strict
PXD006847,25,16,0,5,1,0,3,0,3,0.64,0.64,0.76,human_annotation,inference
PXD006847,23,19,2,0,0,2,3,0,0,0.8261,0.8261,0.8261,hamlet_raw,strict
PXD006847,23,17,2,0,0,1,3,0,3,0.7391,0.7391,0.8696,hamlet_raw,inference
PXD006847,24,17,2,1,0,4,6,0,0,0.7083,0.7083,0.7083,hamlet_harmonized,strict
PXD006847,24,15,2,1,0,4,6,0,2,0.625,0.625,0.7083,hamlet_harmonized,inference
