sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state
1	PXD032086-Sample-1	source_name	source name	PXD032086-Sample-1	derived								legacy_derivation	derived
1	PXD032086-Sample-1	organism	characteristics[organism]	Homo sapiens, Mus musculus	biological_agent	Immortalized wild type mouse embryonic fibroblasts (MEF) were obtained in the lab from E12.5 mouse embryos (Mus musculus)	DISAGREE_LLM_OUTVOTED	0.9707823991775512	medium	False	False	Homo sapiens, Mus musculus	source_precedence:biological_agent	derived
1	PXD032086-Sample-1	organism_part	characteristics[organism part]	brain, retina, heart, lung, kidney	biological_agent	we performed pulldowns of mouse brain and retina extracts	LLM_ONLY	0.5	medium	False	False	brain, retina, heart, lung, kidney	source_precedence:biological_agent	derived
1	PXD032086-Sample-1	disease	characteristics[disease]	leukemia	biological_agent	we analyzed HAP1 cells, a near-haploid adherent fibroblast-like cell line of human leukemia origin	LLM_ONLY	0.5					source_precedence:biological_agent	derived
1	PXD032086-Sample-1	cell_type	characteristics[cell type]	embryonic fibroblasts	biological_agent	we performed mass spectrometry of total intracellular actin from mouse embryonic fibroblasts (MEF) cell	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD032086-Sample-1	cell_line	characteristics[cell line]	MEF, HAP1	biological_agent	we performed mass spectrometry of total intracellular actin from mouse embryonic fibroblasts (MEF) cell	LLM_ONLY	0.5	medium	False	False	MEF, HAP1	source_precedence:biological_agent	derived
1	PXD032086-Sample-1	age	characteristics[age]	E12.5	biological_agent	Immortalized wild type mouse embryonic fibroblasts (MEF) were obtained in the lab from E12.5 mouse embryos (Mus musculus)	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived
1	PXD032086-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived
1	PXD032086-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived
1	PXD032086-Sample-1	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived
1	PXD032086-Sample-1	label	comment[label]	label free sample	technical_agent				high	False	False		source_precedence:technical_agent	derived
1	PXD032086-Sample-1	instrument	comment[instrument]	Thermo Q Exactive Plus, Q Exactive HF	runassessor				medium	False	False	Thermo Q Exactive Plus, Q Exactive HF	source_precedence:runassessor	derived
1	PXD032086-Sample-1	cleavage_agent	comment[cleavage agent details]	NT=Trypsin;AC=MS:1001251	derived								legacy_derivation	derived
1	PXD032086-Sample-1	dissociation	comment[dissociation method]	NT=beam-type collision-induced dissociation;AC=MS:1000422	runassessor								source_precedence:runassessor	derived
1	PXD032086-Sample-1	factor_value	factor value[experimental design]	genotype (wild type, DNPEP-KO, ENPEP-KO, DNPEP/ENPEP-KO, ActBcG)	experimental_design_agent	we used CRISPR/Cas9 to knock out both DNPEP and ENPEP, individually or together, in HAP1 cells	LLM_ONLY	0.5	high	False	False		source_precedence:experimental_design_agent	derived
1	PXD032086-Sample-1	modification	comment[modification parameters]	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	derived								legacy_derivation	derived
1	PXD032086-Sample-1	modification	comment[modification parameters]	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	derived								legacy_derivation	derived
1	PXD032086-Sample-1	modification	comment[modification parameters]	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	derived								legacy_derivation	derived
1	PXD032086-Sample-1	precursor_tolerance	comment[precursor mass tolerance]	6 ppm	derived								legacy_derivation	derived
1	PXD032086-Sample-1	fragment_tolerance	comment[fragment mass tolerance]	10 ppm	derived								legacy_derivation	derived
1	PXD032086-Sample-1	reduction_reagent	comment[reduction reagent]	tris(2-carboxyethyl)phosphine	derived								legacy_derivation	derived
1	PXD032086-Sample-1	alkylation_reagent	comment[alkylation reagent]	iodoacetamide	derived								legacy_derivation	derived
1	PXD032086-Sample-1	ms2_analyzer	comment[ms2 mass analyzer]	orbitrap	derived								legacy_derivation	derived
1	PXD032086-Sample-1	data_file	comment[data file]	KashinaA-19-G137-Band2-QEP.raw	derived								legacy_derivation	derived
1	PXD032086-Sample-1	sdrf_version	comment[sdrf version]	v1.1.0	derived								legacy_derivation	derived
1	PXD032086-Sample-1	annotation_tool	comment[sdrf annotation tool]	HAMLET-agentic v2.1.0	derived								legacy_derivation	derived
1	PXD032086-Sample-1	factor_disease	factor value[disease]	leukemia	derived								legacy_derivation	derived
