source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	Characteristics[age]	assay name	characteristics[ancestry category]	Characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[technical replicate]	Characteristics[individual]	comment[fraction identifier]	comment[proteomexchange accession number]	comment[data file]	comment[file url]	comment[PTM]	comment[Donor]	comment[label]	comment[instrument]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	Factor Value[individual]	sampleChecksum	sampleAccession
PXD002029-Sample 1	homo sapiens	Human colon mucosa	not available	not available	run 1	not available	not available	Normal healthy	1	1	1	1	PXD002029	Colon_ParticipantA_DF_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_DF_1.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1	2e12f8831c2679bea40b0dee6c4848c9f58be05db616e4f38b50e61290e9b34e	SAMEA7716039
PXD002029-Sample 2	homo sapiens	Human colon mucosa	not available	not available	run 2	not available	not available	Normal healthy	1	1	1	1	PXD002029	Colon_ParticipantA_DF_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_DF_2.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1	7f98319848b5834933096d1aadb3f579694c7dffaa8b2717e8f4247ef9dbc7d8	SAMEA7716040
PXD002029-Sample 3	homo sapiens	Human colon mucosa	not available	not available	run 3	not available	not available	Normal healthy	1	1	1	1	PXD002029	Colon_ParticipantA_DF_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_DF_3.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1	b16e41fc8d8ed735ddb850456b9e9458b5c36035381060d1123198801bb7cf10	SAMEA7716041
PXD002029-Sample 1	homo sapiens	Human colon mucosa	not available	not available	run 4	not available	not available	Normal healthy	1	2	1	2	PXD002029	Colon_ParticipantA_RNAlater_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_RNAlater_1.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1	27b0883709d7a9271d666e8dcfde5b5f3a1d751606034349d88ede96f61ba452	SAMEA7716042
PXD002029-Sample 2	homo sapiens	Human colon mucosa	not available	not available	run 5	not available	not available	Normal healthy	1	2	1	2	PXD002029	Colon_ParticipantA_RNAlater_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_RNAlater_2.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1	fe37e1287d4443453651bf75c63893a0865420c02e0ee670e36229ce925b8919	SAMEA7716043
PXD002029-Sample 3	homo sapiens	Human colon mucosa	not available	not available	run 6	not available	not available	Normal healthy	1	2	1	2	PXD002029	Colon_ParticipantA_RNAlater_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_RNAlater_3.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1	56be73f56c900f2bcdc2e12d735e0e8302c17a5e29ca010b2db12e84ace8dbaa	SAMEA7716044
PXD002029-Sample 1	homo sapiens	Human colon mucosa	not available	not available	run 7	not available	not available	Normal healthy	1	3	1	3	PXD002029	Colon_ParticipantA_iFFPE_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_iFFPE_1.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1	396149ca2e928107f8729c57f6c0c64d4ea585037eaa31c1f1f16bcfb4dfd350	SAMEA7716045
PXD002029-Sample 2	homo sapiens	Human colon mucosa	not available	not available	run 8	not available	not available	Normal healthy	1	3	1	3	PXD002029	Colon_ParticipantA_iFFPE_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_iFFPE_2.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1	840c4d6d53ab42dc3490682eeb816019bf3c793c1b490577a2202a2677bc5ad4	SAMEA7716046
PXD002029-Sample 3	homo sapiens	Human colon mucosa	not available	not available	run 9	not available	not available	Normal healthy	1	3	1	3	PXD002029	Colon_ParticipantA_iFFPE_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_iFFPE_3.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1	c9ea029ce9f0df11741d2ea877e050a98c4faea280a5e79f1cb5ffc1bae5c049	SAMEA7716047
PXD002029-Sample 1	homo sapiens	Human colon mucosa	not available	not available	run 10	not available	not available	Normal healthy	1	4	1	4	PXD002029	Colon_ParticipantA_sFFPE_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002029/Colon_ParticipantA_sFFPE_1.raw	1	A	NT=label free sample	AC=MS:1001911;NT=Q Exactive	not available	not available	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	NT=deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=formylated residue;AC=PSI-MOD:00493;TA=N;MT=Variable	1	17732a88cb0f4e2a2fc09d3378c7cf37bc1a39bd1279c3a1a45c19d22d531788	SAMEA7716048
