source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002548-Sample-1	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=?;TA=CHKSTY,N-term	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	50 mmu	iodoacetamide	Orbitrap	normalized collision energy of 35%	2014-0403_iTRAQ-2.raw	v1.1.0	HAMLET-agentic v2.1.1	wild-type, δmin mutant
PXD002548-Sample-2	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=?;TA=CHKSTY,N-term	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	50 mmu	iodoacetamide	Orbitrap	normalized collision energy of 35%	2014-0403_iTRAQ-2.raw	v1.1.0	HAMLET-agentic v2.1.1	wild-type, δmin mutant
PXD002548-Sample-3	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=?;TA=CHKSTY,N-term	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	50 mmu	iodoacetamide	Orbitrap	normalized collision energy of 35%	2014-0403_iTRAQ-2.raw	v1.1.0	HAMLET-agentic v2.1.1	wild-type, δmin mutant
PXD002548-Sample-4	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=?;TA=CHKSTY,N-term	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	50 mmu	iodoacetamide	Orbitrap	normalized collision energy of 35%	2014-0403_iTRAQ-2.raw	v1.1.0	HAMLET-agentic v2.1.1	wild-type, δmin mutant
PXD002548-Sample-5	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=?;TA=CHKSTY,N-term	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	50 mmu	iodoacetamide	Orbitrap	normalized collision energy of 35%	2014-0403_iTRAQ-1.raw	v1.1.0	HAMLET-agentic v2.1.1	wild-type, δmin mutant
PXD002548-Sample-6	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=?;TA=CHKSTY,N-term	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	50 mmu	iodoacetamide	Orbitrap	normalized collision energy of 35%	2014-0403_iTRAQ-1.raw	v1.1.0	HAMLET-agentic v2.1.1	wild-type, δmin mutant
PXD002548-Sample-7	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=?;TA=CHKSTY,N-term	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	50 mmu	iodoacetamide	Orbitrap	normalized collision energy of 35%	2014-0403_iTRAQ-1.raw	v1.1.0	HAMLET-agentic v2.1.1	wild-type, δmin mutant
PXD002548-Sample-8	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=?;TA=CHKSTY,N-term	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	50 mmu	iodoacetamide	Orbitrap	normalized collision energy of 35%	2014-0403_iTRAQ-1.raw	v1.1.0	HAMLET-agentic v2.1.1	wild-type, δmin mutant
PXD002548-Sample-9	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=?;TA=CHKSTY,N-term	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	50 mmu	iodoacetamide	Orbitrap	normalized collision energy of 35%	2014-0403_iTRAQ-3.raw	v1.1.0	HAMLET-agentic v2.1.1	wild-type, δmin mutant
PXD002548-Sample-10	Escherichia coli	inner membrane	wild-type, δmin mutant	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (wild-type, Δmin)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=?;TA=CHKSTY,N-term	NT=Deamidation;AC=UNIMOD:7;MT=?;TA=NQR	NT=Oxidation or Hydroxylation;AC=UNIMOD:35;MT=?;TA=CDEFHIKLMNPQRSTUVWY,C-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	10 ppm	50 mmu	iodoacetamide	Orbitrap	normalized collision energy of 35%	2014-0403_iTRAQ-3.raw	v1.1.0	HAMLET-agentic v2.1.1	wild-type, δmin mutant
