source name	characteristics[organism]	characteristics[organism part]	characteristics[anatomycal cluster]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[depletion]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[technical replicate]	comment[cleavage agent details]	comment[MS2 mass analyzer]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	sampleChecksum	sampleAccession
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3136	QEp15-3136.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3136.raw	1	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3137	QEp15-3137.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3137.raw	2	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3138	QEp15-3138.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3138.raw	3	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3139	QEp15-3139.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3139.raw	4	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3140	QEp15-3140.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3140.raw	5	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3141	QEp15-3141.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3141.raw	6	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3142	QEp15-3142.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3142.raw	7	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3143	QEp15-3143.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3143.raw	8	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3144	QEp15-3144.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3144.raw	9	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
PXD005445-mixed_0 brain	Homo sapiens	brain	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	uninfected	not available	no depletion	qep15-3145	QEp15-3145.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD005445/QEp15-3145.raw	10	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	AC=MS:1002038;NT=label free sample	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	AC=MS:1000484; NT=Orbitrap	AC=MS:1002634; NT=Q Exactive Plus	AC=PRIDE:0000563;NT=Reversed-phase chromatography	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1000422;NT=HCD	28 NCE	not available	not available	a3e0d16d9f2d8c677f6034f36a71f595cd7fb18e3bee82c8b2fd93357dd9afe5	SAMEA7710320
