field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	0	0	0			
characteristics[cell line]	Biological	195	0	0	0.0	0.0	0.0
characteristics[cell type]	Biological	195	0	0	0.0	0.0	0.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	195	195	195	1.0	1.0	1.0
characteristics[organism part]	Biological	195	195	0	0.0	0.0	0.0
characteristics[organism]	Biological	195	195	195	1.0	1.0	1.0
characteristics[sex]	Biological	0	0	0			
characteristics[biological replicate]	ExperimentalDesign	195	0	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	195	0	0	0.0	0.0	0.0
comment[technical replicate]	ExperimentalDesign	195	0	0	0.0	0.0	0.0
factor value[disease]	ExperimentalDesign	195	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	195	0	0	0.0	0.0	0.0
comment[alkylation reagent]	Technical	195	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	195	195	195	1.0	1.0	1.0
comment[dissociation method]	Technical	195	0	0	0.0	0.0	0.0
comment[fragment mass tolerance]	Technical	195	195	0	0.0	0.0	0.0
comment[instrument]	Technical	195	195	0	0.0	0.0	0.0
comment[label]	Technical	195	195	195	1.0	1.0	1.0
comment[modification parameters]	Technical	390	585	390	1.0	0.666667	0.8
comment[ms2 mass analyzer]	Technical	195	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	195	195	0	0.0	0.0	0.0
comment[proteomics data acquisition method]	Technical	195	0	0	0.0	0.0	0.0
comment[reduction reagent]	Technical	195	0	0	0.0	0.0	0.0
technology type	Technical	195	0	0	0.0	0.0	0.0
