mod_key,mod_name,unimod_id,mass_shift,group,n_pxds_observed,n_sample_obs,mean_fraction_modified,median_fraction_modified,total_peptides_with_mod,total_modified_sites
unimod:4,Iodoacetamide derivative,4,57.021465,Cys alkylation,277,598,0.05966374247491639,0.058633500000000005,3151590,4401915
unimod:7,Deamidation,7,0.984016,Deamidation,110,243,0.10983914814814816,0.098515,881028,988060
unimod:35,Oxidation or Hydroxylation,35,15.994915,Oxidation,107,206,0.031445898058252424,0.028642,949848,1074555
unimod:737,Sixplex Tandem Mass Tag®,737,229.16293,TMT/isobaric labels,23,56,0.5058335714285714,0.5160115000000001,847389,1972706
unimod:5,Carbamylation,5,43.005814,Carbamylation,23,48,0.06256402083333334,0.0567405,149921,172377
unimod:352,Lysine oxidation to aminoadipic semialdehyde,352,-1.031634,Miscellaneous rare,22,47,0.22202814893617015,0.178952,173887,238343
unimod:1187,Gln->Trp substitution,1187,58.02929,Amino acid substitutions,16,33,0.09957860606060606,0.083266,91154,92288
unimod:21,Phosphorylation,21,79.96633,Phosphorylation,16,30,0.05177849999999999,0.045467,91432,106612
unimod:121,ubiquitinylation residue,121,114.04293,Ubiquitination (GlyGly),16,32,0.08389118749999999,0.0724155,123377,138701
unimod:122,Formylation,122,27.994915,Acetylation/amidation,14,30,0.08622076666666668,0.089171,93178,110948
unimod:401,2-amino-3-oxo-butanoic_acid,401,-2.01565,Miscellaneous rare,14,29,0.08766368965517242,0.061471,272703,449424
unimod:2,Amidation,2,-0.984016,Acetylation/amidation,13,25,0.0031956000000000003,0.001756,811,811
unimod:1042,Acetyldeoxyhypusine,1042,113.08406,Miscellaneous rare,11,18,0.2686914444444444,0.2068305,34731,50171
unimod:24,Acrylamide adduct,24,71.03712,Cys alkylation,10,21,0.09084142857142859,0.082559,54214,69746
unimod:425,dihydroxy,425,31.989828,Oxidation,10,21,0.04612385714285714,0.045668,61156,70149
unimod:1287,Loss of arginine due to transpeptidation,1287,-156.1011,Miscellaneous rare,10,20,0.005445150000000001,0.0043525000000000005,1056,1056
unimod:254,Acetaldehyde +26,254,26.01565,Acetylation/amidation,8,19,0.14865273684210525,0.12573,40733,54330
unimod:1922,Proline oxidation to 5-hydroxy-2-aminovaleric acid,1922,18.010565,Oxidation,7,18,0.20382455555555554,0.111707,28696,29723
unimod:298,deuterated methyl ester,298,17.03448,Other isotope labels,6,14,0.07848064285714286,0.074871,38976,45250
unimod:1,Acetylation,1,42.010567,Acetylation/amidation,5,10,0.07341850000000001,0.0700725,53507,65973
unimod:2016,TMTpro 16plex Tandem Mass Tag,2016,304.207,TMT/isobaric labels,5,8,0.46209037500000005,0.4872145,245069,498252
unimod:1870,Replacement of 3 protons by iron,1870,52.911465,Metal adducts,5,7,0.04660757142857143,0.045541,19964,21240
unimod:28,Pyro-glu from Q,28,-17.026548,Dehydration/Pyro-Glu,5,10,0.0063391,0.0033455,964,964
unimod:6,Iodoacetic acid derivative,6,58.005478,Cys alkylation,5,12,0.15726525,0.167472,9998,11325
unimod:1181,Gln->Gly substitution,1181,-71.03711,Amino acid substitutions,4,9,0.23959222222222223,0.217795,10856,10963
unimod:730,"Representative mass and accurate mass for 113, 114, 116 & 117",730,304.20535,TMT/isobaric labels,4,7,0.0625042857142857,0.065574,46367,64642
unimod:1159,Asn->Gly substitution,1159,-57.02146,Amino acid substitutions,4,4,0.31560425,0.327661,3278,3399
unimod:898,pyrophosphorylation of Ser/Thr,898,159.93266,Phosphorylation,4,7,0.10584785714285715,0.084541,20928,22657
unimod:447,reduction,447,-15.994915,Miscellaneous rare,3,8,0.10242275,0.1028985,62951,63558
unimod:34,Methylation,34,14.01565,Methylation,3,7,0.05573971428571428,0.053364,47033,72553
unimod:1827,Pyro-Glu from E + Methylation Medium,1827,-0.979006,Dehydration/Pyro-Glu,3,5,0.0014852,0.001616,95,95
unimod:17,N-isopropylcarboxamidomethyl,17,99.06841,TMT/isobaric labels,3,7,0.17722985714285716,0.182692,3427,3467
unimod:327,S-Ethylcystine from Serine,327,44.008457,Cys alkylation,3,7,0.10715428571428572,0.093671,26590,27152
unimod:313,Loss of Lysine,313,-128.09496,Miscellaneous rare,3,5,0.526793,0.428295,18708,22019
unimod:518,"Diethylation, analogous to Dimethylation",518,56.0626,Miscellaneous rare,3,6,0.11772049999999999,0.0948585,17732,25539
unimod:303,Cysteine mercaptoethanol,303,75.99828,Cys alkylation,3,9,0.2423591111111111,0.219838,5193,5215
unimod:30,Sodium adduct,30,21.981943,Metal adducts,3,8,0.055158874999999996,0.0569015,26006,26660
unimod:188,13C(6) Silac label,188,6.020129,SILAC labels,2,2,0.24539850000000002,0.24539850000000002,50253,90150
unimod:1878,Water-quenched monolink of DSSO crosslinker,1878,176.01433,Crosslinkers/affinity,2,3,0.20346799999999998,0.247407,7178,8126
