domain,category,value,fraction
acquisition_type,dda,619.0,0.9493865030674846
acquisition_type,ambiguous,20.0,0.03067484662576687
acquisition_type,dia,13.0,0.019938650306748466
acquisition_type,unknown,1.0,0.0015337423312883436
fragmentation_type,hr_it_cid,10.0,0.015337423312883436
fragmentation_type,hr_hcd,597.0,0.9156441717791411
fragmentation_type,lr_it_cid,25.0,0.03834355828220859
fragmentation_type,hr_ethcd,1.0,0.0015337423312883436
fragmentation_type,lr_hcd,16.0,0.024539877300613498
fragmentation_type,multiple,3.0,0.004601226993865031
fragmentation_type,unknown,1.0,0.0015337423312883436
fragmentation_tag,??,384.0,0.588957055214724
fragmentation_tag,hr hcd,242.0,0.37116564417177916
fragmentation_tag,lr it cid,15.0,0.023006134969325152
fragmentation_tag,hr it cid,1.0,0.0015337423312883436
fragmentation_tag,lr hcd,10.0,0.015337423312883436
labeling,unavailable,11.0,0.01687116564417178
labeling,unknown,538.0,0.8251533742331288
labeling,tmt10plex,51.0,0.07822085889570553
labeling,itraq4plex,3.0,0.004601226993865031
labeling,tmt6plex,5.0,0.007668711656441718
labeling,tmtpro,44.0,0.06748466257668712
labeling,tmt,1.0,0.0015337423312883436
high_accuracy_precursors,true,651.0,0.9984662576687117
high_accuracy_precursors,unknown,2.0,0.003067484662576687
has_water_loss,unavailable,11.0,0.01687116564417178
has_water_loss,true,523.0,0.8021472392638037
has_water_loss,false,89.0,0.13650306748466257
has_water_loss,unknown,29.0,0.04447852760736196
ms_level_spectra,ms0,0.0,0.0
ms_level_spectra,ms1,6311769.0,0.19885393936604293
ms_level_spectra,ms2,25428960.0,0.8011460606339571
ms_level_spectra,ms3,0.0,0.0
precursor_charge,3,7769905.0,0.3055533926672581
precursor_charge,4,2096380.0,0.08244065034511833
precursor_charge,5,629769.0,0.024765818185250203
precursor_charge,6,183393.0,0.0072119740642165465
precursor_charge,7,49484.0,0.001945970263825182
precursor_charge,8,13739.0,0.0005402894966998257
precursor_charge,10,3557.0,0.00013987988498153286
precursor_charge,9,5231.0,0.00020571033970716852
precursor_charge,2,11898709.0,0.4679196081947512
precursor_charge,unknown,2584434.0,0.10163349189270815
precursor_charge,11,2645.0,0.00010401526448584607
precursor_charge,12,2172.0,8.541442512788569e-05
precursor_charge,15,1365.0,5.367895501821545e-05
precursor_charge,17,1308.0,5.143741623723503e-05
precursor_charge,18,1164.0,4.577458142212658e-05
precursor_charge,22,368.0,1.44716889719438e-05
precursor_charge,13,1856.0,7.298764872806437e-05
precursor_charge,14,1639.0,6.445407126363013e-05
precursor_charge,24,537.0,2.1117654831341903e-05
precursor_charge,19,845.0,3.322982929699052e-05
precursor_charge,21,469.0,1.8443538390874027e-05
precursor_charge,16,1195.0,4.699366391704576e-05
precursor_charge,20,542.0,2.1314281040199836e-05
precursor_charge,25,636.0,2.5010853766728958e-05
precursor_charge,23,434.0,1.7067154928868503e-05
precursor_charge,1702129263,1.0,3.932524177158641e-08
precursor_charge,1,174383.0,0.006857653635854553
precursor_charge,26,47.0,1.8482863632645613e-06
precursor_charge,27,305.0,1.1994198740333856e-05
precursor_charge,28,310.0,1.2190824949191788e-05
precursor_charge,29,39.0,1.53368442909187e-06
precursor_charge,37,55.0,2.1628882974372527e-06
precursor_charge,42,13.0,5.112281430306233e-07
precursor_charge,45,18.0,7.078543518885554e-07
precursor_charge,49,17.0,6.68529110116969e-07
precursor_charge,53,223.0,8.76952891506377e-06
precursor_charge,54,194.0,7.6290969036877635e-06
precursor_charge,55,495.0,1.9465994676935274e-05
precursor_charge,30,11.0,4.325776594874505e-07
precursor_charge,31,26.0,1.0224562860612466e-06
precursor_charge,32,17.0,6.68529110116969e-07
precursor_charge,33,20.0,7.865048354317282e-07
precursor_charge,34,29.0,1.1404320113760059e-06
precursor_charge,35,25.0,9.831310442896602e-07
precursor_charge,36,50.0,1.9662620885793204e-06
precursor_charge,38,46.0,1.808961121492975e-06
precursor_charge,39,34.0,1.337058220233938e-06
precursor_charge,40,12.0,4.7190290125903694e-07
precursor_charge,41,17.0,6.68529110116969e-07
precursor_charge,43,15.0,5.898786265737961e-07
precursor_charge,44,14.0,5.505533848022097e-07
precursor_charge,46,17.0,6.68529110116969e-07
precursor_charge,47,32.0,1.258407736690765e-06
precursor_charge,48,37.0,1.4550339455486972e-06
precursor_charge,50,40.0,1.5730096708634564e-06
precursor_charge,51,65.0,2.556140715153117e-06
precursor_charge,52,136.0,5.348232880935752e-06
precursor_charge,56,131.0,5.15160667207782e-06
precursor_charge,57,102.0,4.011174660701814e-06
precursor_charge,58,58.0,2.2808640227520117e-06
precursor_charge,59,51.0,2.005587330350907e-06
precursor_charge,60,99.0,3.8931989353870546e-06
isolation_window_full_width,2,7199044.0,0.2831110930734909
isolation_window_full_width,2.5,333383.0,0.01311068880008507
isolation_window_full_width,4,1551108.0,0.06099919397006552
isolation_window_full_width,1.9,7239.0,0.00028468241099220964
isolation_window_full_width,1.5,878396.0,0.03454398274428968
isolation_window_full_width,1.6,7469080.0,0.2937305846517051
isolation_window_full_width,2.1,289108.0,0.011369520994216845
isolation_window_full_width,3,712090.0,0.028003798596966785
isolation_window_full_width,1.2,1845736.0,0.0725857956257932
isolation_window_full_width,8.94159e+271,1.0,3.932620679544269e-08
isolation_window_full_width,0.4,86943.0,0.0034191383974161737
isolation_window_full_width,0.9,26433.0,0.0010395096242239367
isolation_window_full_width,0.8,368894.0,0.014507201729598036
isolation_window_full_width,1.8,620959.0,0.024419962045491298
isolation_window_full_width,1.4,1600482.0,0.06294088610438371
isolation_window_full_width,1,398956.0,0.015689426158282633
isolation_window_full_width,0.7,1197543.0,0.04709482366443483
isolation_window_full_width,1.7,273461.0,0.010754183836488554
isolation_window_full_width,29,109291.0,0.004298000466880727
isolation_window_full_width,15,15747.0,0.000619269778407836
isolation_window_full_width,5,34366.0,0.0013514844227321835
isolation_window_full_width,1.3,278585.0,0.010955691320108402
isolation_window_full_width,8.3,952.0,3.743854886926144e-05
isolation_window_full_width,8.5,1904.0,7.487709773852288e-05
isolation_window_full_width,8.6,952.0,3.743854886926144e-05
isolation_window_full_width,8.7,952.0,3.743854886926144e-05
isolation_window_full_width,8.9,1905.0,7.491642394531833e-05
isolation_window_full_width,9,4760.0,0.0001871927443463072
isolation_window_full_width,9.2,953.0,3.7477875076056885e-05
isolation_window_full_width,9.5,4761.0,0.00018723207055310265
isolation_window_full_width,9.9,952.0,3.743854886926144e-05
isolation_window_full_width,10,952.0,3.743854886926144e-05
isolation_window_full_width,10.1,953.0,3.7477875076056885e-05
isolation_window_full_width,10.3,953.0,3.7477875076056885e-05
isolation_window_full_width,10.5,952.0,3.743854886926144e-05
isolation_window_full_width,10.6,952.0,3.743854886926144e-05
isolation_window_full_width,10.7,952.0,3.743854886926144e-05
isolation_window_full_width,10.9,952.0,3.743854886926144e-05
isolation_window_full_width,11.2,953.0,3.7477875076056885e-05
isolation_window_full_width,11.3,952.0,3.743854886926144e-05
isolation_window_full_width,12.3,953.0,3.7477875076056885e-05
isolation_window_full_width,12.6,952.0,3.743854886926144e-05
isolation_window_full_width,13.2,952.0,3.743854886926144e-05
isolation_window_full_width,14.1,952.0,3.743854886926144e-05
isolation_window_full_width,14.5,1905.0,7.491642394531833e-05
isolation_window_full_width,17.2,953.0,3.7477875076056885e-05
isolation_window_full_width,17.7,952.0,3.743854886926144e-05
isolation_window_full_width,21.1,952.0,3.743854886926144e-05
isolation_window_full_width,23,11618.0,0.0004568918705494532
isolation_window_full_width,23.8,952.0,3.743854886926144e-05
isolation_window_full_width,28.5,952.0,3.743854886926144e-05
isolation_window_full_width,30.3,952.0,3.743854886926144e-05
isolation_window_full_width,42.7,952.0,3.743854886926144e-05
isolation_window_full_width,59.6,952.0,3.743854886926144e-05
isolation_window_full_width,88,952.0,3.743854886926144e-05
isolation_window_full_width,13,53331.0,0.0020973059346077543
isolation_window_full_width,18,6399.0,0.0002516483972840378
isolation_window_full_width,24,4268.0,0.0001678442506029494
isolation_window_full_width,34,4266.0,0.0001677655981893585
isolation_window_full_width,48,4266.0,0.0001677655981893585
