group,n_mods_in_group,n_pxds_observed,n_pxds_unique,weighted_mean_fraction,total_peptides_with_mod
Cys alkylation,10,304,277,0.06878706807866869,3273883
Oxidation,6,128,115,0.04732857142857142,1044147
Deamidation,1,110,110,0.10983914814814816,881028
Acetylation/amidation,4,40,39,0.07410833333333333,188229
TMT/isobaric labels,10,43,35,0.3919536236559141,1233933
Amino acid substitutions,5,26,26,0.1502896346153846,109114
Carbamylation,1,23,23,0.06256402083333334,149921
Phosphorylation,2,20,16,0.06200783783783783,112360
Ubiquitination (GlyGly),2,17,16,0.09350831428571428,126098
Other isotope labels,7,14,13,0.11640416129032258,93556
Crosslinkers/affinity,8,9,9,0.19925905555555554,36265
Metal adducts,3,9,9,0.052879,46226
Dehydration/Pyro-Glu,3,9,8,0.0074511875,3307
Methylation,5,9,8,0.1077651304347826,159499
SILAC labels,3,5,5,0.41974472727272727,61813
Lipid adducts,3,3,3,0.11653172727272727,11259
Organophosphorus adducts,3,3,3,0.07112575,20781
Glycosylation,1,1,1,0.07277133333333334,1654
Nitrosylation/sulfonation,1,1,1,0.107055,1440
Miscellaneous rare,39,103,87,0.15644400469483563,825303
